Delay for 2 seconds,2.02,
Dispense 50 uLs with 200 uL tips at Low pressure 1 time,4.13,
Move to Mag Separator column 3 with 200 uL tips,9.38,
Aspirate 160 uLs with 200 uL tips at Low pressure 1 time,3.73,
Move to Reagent Cartridge tray A column 12 with 200 uL tips,9.42,
Dispense 160 uLs with 200 uL tips at Low pressure 1 time,4.59,
Delay for 2 seconds,2.01,
Dispense 50 uLs with 200 uL tips at Low pressure 1 time,4.11,
Eject tips in A column 8,11.33,
Pickup tips from A column 4,14.1,
Move to Reagent Cartridge tray A column 10 with 1000 uL tips,5.23,
Aspirate 150 uLs with 1000 uL tips at Low pressure 1 time,3.75,
Move to Mag Separator column 3 with 1000 uL tips moving up by 8000,8.0,
Dispense 150 uLs with 1000 uL tips at Low pressure 1 time,13.61,
Delay for 20 seconds,20.02,
Aspirate 160 uLs with 1000 uL tips at Low pressure 1 time,4.29,
Move to Reagent Cartridge tray A column 12 with 1000 uL tips,8.24,
Dispense 160 uLs with 1000 uL tips at Low pressure 1 time,4.52,
Delay for 2 seconds,2.03,
Dispense 50 uLs with 1000 uL tips at Low pressure 1 time,4.14,
Move to Reagent Cartridge tray A column 10 with 1000 uL tips,7.22,
Aspirate 150 uLs with 1000 uL tips at Low pressure 1 time,3.72,
Move to Mag Separator column 3 with 1000 uL tips moving up by 8000,7.93,
Dispense 150 uLs with 1000 uL tips at Low pressure 1 time,13.66,
Delay for 20 seconds,20.02,
Aspirate 200 uLs with 1000 uL tips at Low pressure 1 time,4.28,
Move to Reagent Cartridge tray A column 12 with 1000 uL tips,8.28,
Dispense 200 uLs with 1000 uL tips at Low pressure 1 time,4.64,
Eject tips in A column 4,10.74,
Pickup tips from A column 5,14.11,
Move to Mag Separator column 3 with 50 uL tips,7.15,
Aspirate 50 uLs with 50 uL tips at Low pressure 1 time,3.33,
Move to Reagent Cartridge tray A column 12 with 50 uL tips,9.43,
Dispense 50 uLs with 50 uL tips at Low pressure 1 time,4.13,
Move to Mag Separator column 3 with 50 uL tips,9.58,
Aspirate 50 uLs with 50 uL tips at Low pressure 1 time,3.39,
Move to Reagent Cartridge tray A column 12 with 50 uL tips,9.39,
Dispense 50 uLs with 50 uL tips at Low pressure 1 time,4.13,
Eject tips in A column 5,11.34,
Delay for 3 minutes,180.03,
Pickup tips from A column 10,14.33,
Move to Reagent Cartridge tray A column 5 with 200 uL tips,6.34,
Disengage magnet,0.22,
Aspirate 45 uLs with 200 uL tips at Low pressure 1 time,3.43,
Move to Mag Separator column 3 with 200 uL tips,8.97,
Dispense 45 uLs with 200 uL tips at Low pressure 1 time,4.1,
Mix 30 uLs with 200 uL tips at Low pressure 3 times,21.99,
Aspirate 5 uLs with 50 uL tips at Lowest pressure 1 time,3.2,
Move relative up by 50000,0.96,
Dispense 5 uLs with 50 uL tips at Lowest pressure 1 time,3.98,
Delay for 3 seconds,3.01,
Dispense 2 uLs with 50 uL tips at Lowest pressure 1 time,4.02,
Move relative down by 50000,0.95,
Delay for 1 minute,60.03,
Engage magnet,0.46,
Delay for 2 seconds,2.03,
Dispense 15 uLs with 200 uL tips at Low pressure 1 time,3.98,
Eject tips in A column 10,12.62,
Home pipettor fast,11.09,
