Seyonic Pipettor Initializing...,Tue Sep 19 12:52:20 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 12:54:03 2023,
close_valve(channel=0),Tue Sep 19 12:54:08 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 12:54:09 2023,
dispense(pressure=100),Tue Sep 19 12:54:16 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:54:16 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:54:21 2023,
dispense(pressure=100),Tue Sep 19 12:54:25 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:54:25 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:54:28 2023,
dispense(pressure=100),Tue Sep 19 12:54:32 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:54:32 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:54:34 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 12:54:43 2023,
close_valve(channel=0),Tue Sep 19 12:54:46 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 12:54:47 2023,
dispense(pressure=100),Tue Sep 19 12:54:49 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:54:49 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:54:54 2023,
dispense(pressure=100),Tue Sep 19 12:54:58 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:54:58 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:55:00 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 12:55:03 2023,
close_valve(channel=0),Tue Sep 19 12:55:08 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 12:55:09 2023,
dispense(pressure=100),Tue Sep 19 12:55:16 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:55:16 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:55:21 2023,
dispense(pressure=100),Tue Sep 19 12:55:25 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:55:25 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:55:28 2023,
dispense(pressure=100),Tue Sep 19 12:55:32 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:55:32 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:55:34 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 12:55:43 2023,
close_valve(channel=0),Tue Sep 19 12:55:47 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 12:55:48 2023,
dispense(pressure=100),Tue Sep 19 12:55:50 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:55:50 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:55:54 2023,
dispense(pressure=100),Tue Sep 19 12:55:58 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:55:58 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:56:00 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 12:56:03 2023,
close_valve(channel=0),Tue Sep 19 12:56:08 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 12:56:09 2023,
dispense(pressure=100),Tue Sep 19 12:56:16 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:56:16 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:56:21 2023,
dispense(pressure=100),Tue Sep 19 12:56:25 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:56:25 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:56:28 2023,
dispense(pressure=100),Tue Sep 19 12:56:32 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:56:32 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:56:34 2023,
