Seyonic Pipettor Initializing...,Thu Aug 24 10:33:16 2023,
dispense(pressure=100),Thu Aug 24 10:44:30 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:44:30 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:44:32 2023,
dispense(pressure=100),Thu Aug 24 10:44:36 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:44:36 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:44:38 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:51:06 2023,
close_valve(channel=0),Thu Aug 24 10:51:07 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:51:08 2023,
dispense(pressure=100),Thu Aug 24 10:51:19 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:51:19 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:51:21 2023,
dispense(pressure=100),Thu Aug 24 10:51:25 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:51:25 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:51:27 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:51:39 2023,
close_valve(channel=0),Thu Aug 24 10:51:41 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:51:42 2023,
dispense(pressure=100),Thu Aug 24 10:51:52 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:51:52 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:51:55 2023,
dispense(pressure=100),Thu Aug 24 10:51:59 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:51:59 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:52:01 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:52:33 2023,
close_valve(channel=0),Thu Aug 24 10:52:35 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:52:36 2023,
dispense(pressure=100),Thu Aug 24 10:52:45 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:52:45 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:52:47 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:53:09 2023,
close_valve(channel=0),Thu Aug 24 10:53:11 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:53:12 2023,
dispense(pressure=100),Thu Aug 24 10:53:21 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:53:21 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:53:24 2023,
dispense(pressure=100),Thu Aug 24 10:53:28 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:53:28 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:53:30 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:53:40 2023,
close_valve(channel=0),Thu Aug 24 10:53:41 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:53:42 2023,
dispense(pressure=100),Thu Aug 24 10:53:51 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:53:51 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:53:54 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:54:16 2023,
close_valve(channel=0),Thu Aug 24 10:54:18 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:54:19 2023,
dispense(pressure=100),Thu Aug 24 10:54:28 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:54:28 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:54:31 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:55:04 2023,
close_valve(channel=0),Thu Aug 24 10:55:05 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:55:06 2023,
dispense(pressure=100),Thu Aug 24 10:55:16 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:55:16 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:55:18 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:55:30 2023,
close_valve(channel=0),Thu Aug 24 10:55:31 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:55:32 2023,
dispense(pressure=100),Thu Aug 24 10:55:43 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:55:43 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:55:45 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:59:18 2023,
close_valve(channel=0),Thu Aug 24 10:59:19 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:59:20 2023,
dispense(pressure=100),Thu Aug 24 10:59:30 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:59:30 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:59:32 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:59:34 2023,
close_valve(channel=0),Thu Aug 24 10:59:36 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:59:37 2023,
dispense(pressure=100),Thu Aug 24 10:59:38 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:59:38 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:59:40 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:59:42 2023,
close_valve(channel=0),Thu Aug 24 10:59:43 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:59:44 2023,
dispense(pressure=100),Thu Aug 24 10:59:45 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:59:45 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:59:47 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:59:49 2023,
close_valve(channel=0),Thu Aug 24 10:59:51 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:59:52 2023,
dispense(pressure=100),Thu Aug 24 10:59:53 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:59:53 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:59:55 2023,
set_pressure(pressure=-8; direction=None),Thu Aug 24 10:59:57 2023,
close_valve(channel=0),Thu Aug 24 10:59:58 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:59:59 2023,
dispense(pressure=20),Thu Aug 24 11:00:01 2023,
set_pressure(pressure=20; direction=1),Thu Aug 24 11:00:01 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:00:03 2023,
dispense(pressure=20),Thu Aug 24 11:00:08 2023,
set_pressure(pressure=20; direction=1),Thu Aug 24 11:00:08 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:00:10 2023,
dispense(pressure=100),Thu Aug 24 11:01:15 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:01:15 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:01:17 2023,
