Seyonic Pipettor Initializing...,Tue Aug 22 14:11:27 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:14:20 2023,
dispense(pressure=100),Tue Aug 22 14:14:25 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:14:25 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:14:27 2023,
set_pressure(pressure=-8; direction=None),Tue Aug 22 14:17:02 2023,
close_valve(channel=6),Tue Aug 22 14:17:07 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:17:08 2023,
close_valve(channel=0),Tue Aug 22 14:17:08 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:17:09 2023,
dispense(pressure=20),Tue Aug 22 14:17:19 2023,
set_pressure(pressure=20; direction=1),Tue Aug 22 14:17:19 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:17:25 2023,
dispense(pressure=20),Tue Aug 22 14:17:30 2023,
set_pressure(pressure=20; direction=1),Tue Aug 22 14:17:30 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:17:33 2023,
set_pressure(pressure=-8; direction=None),Tue Aug 22 14:17:44 2023,
close_valve(channel=5),Tue Aug 22 14:17:50 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:17:51 2023,
close_valve(channel=0),Tue Aug 22 14:17:51 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:17:52 2023,
