Seyonic Pipettor Initializing...,Tue Nov 14 09:27:18 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:29:49 2023,
dispense(pressure=100),Tue Nov 14 09:29:53 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:29:53 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:29:56 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 09:29:59 2023,
close_valve(channel=0),Tue Nov 14 09:30:03 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 09:30:04 2023,
dispense(pressure=100),Tue Nov 14 09:30:11 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:30:11 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:30:16 2023,
dispense(pressure=100),Tue Nov 14 09:30:20 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:30:20 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:30:23 2023,
dispense(pressure=100),Tue Nov 14 09:30:27 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:30:27 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:30:29 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 09:30:38 2023,
close_valve(channel=0),Tue Nov 14 09:30:41 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 09:30:42 2023,
dispense(pressure=100),Tue Nov 14 09:30:44 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:30:44 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:30:48 2023,
dispense(pressure=100),Tue Nov 14 09:30:52 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:30:52 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:30:55 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 09:30:58 2023,
close_valve(channel=0),Tue Nov 14 09:31:02 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 09:31:03 2023,
dispense(pressure=100),Tue Nov 14 09:31:10 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:31:10 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:31:15 2023,
dispense(pressure=100),Tue Nov 14 09:31:19 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:31:19 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:31:22 2023,
dispense(pressure=100),Tue Nov 14 09:31:26 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:31:26 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:31:28 2023,
