Seyonic Pipettor Initializing...,Wed Sep 13 11:35:25 2023,
close_valve(channel=0),Wed Sep 13 12:00:59 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:01:00 2023,
dispense(pressure=100),Wed Sep 13 12:01:53 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:01:53 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:01:56 2023,
dispense(pressure=100),Wed Sep 13 12:02:03 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:02:03 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:02:06 2023,
dispense(pressure=100),Wed Sep 13 12:02:13 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:02:13 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:02:16 2023,
dispense(pressure=100),Wed Sep 13 12:02:23 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:02:23 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:02:26 2023,
dispense(pressure=100),Wed Sep 13 12:02:33 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:02:33 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:02:36 2023,
dispense(pressure=100),Wed Sep 13 12:02:47 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:02:47 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:02:49 2023,
dispense(pressure=100),Wed Sep 13 12:02:54 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:02:54 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:02:56 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:03:04 2023,
close_valve(channel=0),Wed Sep 13 12:03:09 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:03:10 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:03:15 2023,
close_valve(channel=0),Wed Sep 13 12:03:16 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:03:17 2023,
dispense(pressure=100),Wed Sep 13 12:04:10 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:04:10 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:04:12 2023,
dispense(pressure=100),Wed Sep 13 12:04:19 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:04:19 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:04:22 2023,
dispense(pressure=100),Wed Sep 13 12:04:29 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:04:29 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:04:32 2023,
dispense(pressure=100),Wed Sep 13 12:04:39 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:04:39 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:04:42 2023,
dispense(pressure=100),Wed Sep 13 12:04:49 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:04:49 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:04:53 2023,
dispense(pressure=100),Wed Sep 13 12:05:03 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:05:03 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:05:06 2023,
dispense(pressure=100),Wed Sep 13 12:05:11 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:05:11 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:05:13 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:05:21 2023,
close_valve(channel=0),Wed Sep 13 12:05:26 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:05:27 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:05:31 2023,
close_valve(channel=0),Wed Sep 13 12:05:33 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:05:34 2023,
dispense(pressure=100),Wed Sep 13 12:06:27 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:06:27 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:06:29 2023,
dispense(pressure=100),Wed Sep 13 12:06:36 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:06:36 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:06:39 2023,
dispense(pressure=100),Wed Sep 13 12:06:47 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:06:47 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:06:49 2023,
dispense(pressure=100),Wed Sep 13 12:06:56 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:06:56 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:06:59 2023,
dispense(pressure=100),Wed Sep 13 12:07:06 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:07:06 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:07:10 2023,
dispense(pressure=100),Wed Sep 13 12:07:20 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:07:20 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:07:23 2023,
dispense(pressure=100),Wed Sep 13 12:07:28 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:07:28 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:07:30 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:07:38 2023,
close_valve(channel=0),Wed Sep 13 12:07:42 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:07:43 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:07:48 2023,
close_valve(channel=0),Wed Sep 13 12:07:50 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:07:51 2023,
dispense(pressure=100),Wed Sep 13 12:08:44 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:08:44 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:08:46 2023,
dispense(pressure=100),Wed Sep 13 12:08:53 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:08:53 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:08:56 2023,
dispense(pressure=100),Wed Sep 13 12:09:03 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:09:04 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:09:06 2023,
dispense(pressure=100),Wed Sep 13 12:09:13 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:09:13 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:09:16 2023,
dispense(pressure=100),Wed Sep 13 12:09:23 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:09:23 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:09:27 2023,
dispense(pressure=100),Wed Sep 13 12:09:37 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:09:37 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:09:40 2023,
dispense(pressure=100),Wed Sep 13 12:09:45 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:09:45 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:09:47 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:09:55 2023,
close_valve(channel=0),Wed Sep 13 12:10:00 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:10:01 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:10:05 2023,
close_valve(channel=0),Wed Sep 13 12:10:07 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:10:08 2023,
dispense(pressure=100),Wed Sep 13 12:11:01 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:11:01 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:11:03 2023,
dispense(pressure=100),Wed Sep 13 12:11:10 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:11:10 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:11:13 2023,
dispense(pressure=100),Wed Sep 13 12:11:21 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:11:21 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:11:23 2023,
dispense(pressure=100),Wed Sep 13 12:11:30 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:11:30 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:11:33 2023,
dispense(pressure=100),Wed Sep 13 12:11:40 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:11:40 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:11:44 2023,
dispense(pressure=100),Wed Sep 13 12:11:55 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:11:55 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:11:57 2023,
dispense(pressure=100),Wed Sep 13 12:12:02 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:12:02 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:12:04 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:12:13 2023,
close_valve(channel=0),Wed Sep 13 12:12:17 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:12:18 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:12:23 2023,
close_valve(channel=0),Wed Sep 13 12:12:24 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:12:25 2023,
dispense(pressure=100),Wed Sep 13 12:13:18 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:13:18 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:13:21 2023,
dispense(pressure=100),Wed Sep 13 12:13:28 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:13:28 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:13:31 2023,
dispense(pressure=100),Wed Sep 13 12:13:38 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:13:38 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:13:41 2023,
dispense(pressure=100),Wed Sep 13 12:13:48 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:13:48 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:13:51 2023,
dispense(pressure=100),Wed Sep 13 12:13:58 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:13:58 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:14:01 2023,
dispense(pressure=100),Wed Sep 13 12:14:12 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:14:12 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:14:14 2023,
dispense(pressure=100),Wed Sep 13 12:14:19 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:14:19 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:14:21 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:14:29 2023,
close_valve(channel=0),Wed Sep 13 12:14:34 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:14:35 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:14:39 2023,
close_valve(channel=0),Wed Sep 13 12:14:40 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:14:41 2023,
dispense(pressure=100),Wed Sep 13 12:15:35 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:15:35 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:15:37 2023,
dispense(pressure=100),Wed Sep 13 12:15:44 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:15:44 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:15:47 2023,
dispense(pressure=100),Wed Sep 13 12:15:54 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:15:54 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:15:57 2023,
dispense(pressure=100),Wed Sep 13 12:16:04 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:16:04 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:16:07 2023,
dispense(pressure=100),Wed Sep 13 12:16:14 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:16:14 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:16:17 2023,
dispense(pressure=100),Wed Sep 13 12:16:28 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:16:28 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:16:30 2023,
dispense(pressure=100),Wed Sep 13 12:16:36 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:16:36 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:16:37 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:16:46 2023,
close_valve(channel=0),Wed Sep 13 12:16:50 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:16:51 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:16:56 2023,
close_valve(channel=0),Wed Sep 13 12:16:57 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:16:58 2023,
dispense(pressure=100),Wed Sep 13 12:17:51 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:17:51 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:17:53 2023,
dispense(pressure=100),Wed Sep 13 12:18:00 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:18:00 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:18:04 2023,
dispense(pressure=100),Wed Sep 13 12:18:11 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:18:11 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:18:13 2023,
dispense(pressure=100),Wed Sep 13 12:18:21 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:18:21 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:18:23 2023,
dispense(pressure=100),Wed Sep 13 12:18:30 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:18:30 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:18:34 2023,
dispense(pressure=100),Wed Sep 13 12:18:44 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:18:44 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:18:47 2023,
dispense(pressure=100),Wed Sep 13 12:18:52 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:18:52 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:18:54 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:19:02 2023,
close_valve(channel=0),Wed Sep 13 12:19:07 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:19:08 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:19:12 2023,
close_valve(channel=0),Wed Sep 13 12:19:14 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:19:15 2023,
dispense(pressure=100),Wed Sep 13 12:20:08 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:20:08 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:20:10 2023,
dispense(pressure=100),Wed Sep 13 12:20:17 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:20:17 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:20:20 2023,
dispense(pressure=100),Wed Sep 13 12:20:27 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:20:27 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:20:30 2023,
dispense(pressure=100),Wed Sep 13 12:20:37 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:20:37 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:20:40 2023,
dispense(pressure=100),Wed Sep 13 12:20:47 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:20:47 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:20:50 2023,
dispense(pressure=100),Wed Sep 13 12:21:01 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:21:01 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:21:04 2023,
dispense(pressure=100),Wed Sep 13 12:21:09 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:21:09 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:21:11 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:21:13 2023,
close_valve(channel=0),Wed Sep 13 12:21:16 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:21:17 2023,
dispense(pressure=100),Wed Sep 13 12:21:25 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:21:25 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:21:31 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:21:34 2023,
close_valve(channel=0),Wed Sep 13 12:21:37 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:21:38 2023,
dispense(pressure=100),Wed Sep 13 12:21:40 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:21:40 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:21:46 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:21:48 2023,
close_valve(channel=0),Wed Sep 13 12:21:51 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:21:52 2023,
dispense(pressure=100),Wed Sep 13 12:21:54 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:21:54 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:22:00 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:22:03 2023,
close_valve(channel=0),Wed Sep 13 12:22:06 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:22:07 2023,
dispense(pressure=100),Wed Sep 13 12:22:09 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:22:09 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:22:15 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:22:18 2023,
close_valve(channel=0),Wed Sep 13 12:22:21 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:22:22 2023,
dispense(pressure=100),Wed Sep 13 12:22:30 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:22:30 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:22:37 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:25:01 2023,
close_valve(channel=0),Wed Sep 13 12:25:05 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:25:06 2023,
dispense(pressure=100),Wed Sep 13 12:25:15 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:25:15 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:25:26 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:25:59 2023,
close_valve(channel=0),Wed Sep 13 12:26:01 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:26:02 2023,
dispense(pressure=100),Wed Sep 13 12:26:10 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:26:10 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:26:14 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:26:26 2023,
close_valve(channel=0),Wed Sep 13 12:26:28 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:26:29 2023,
dispense(pressure=100),Wed Sep 13 12:26:30 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:26:30 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:26:33 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:26:35 2023,
close_valve(channel=0),Wed Sep 13 12:26:37 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:26:38 2023,
dispense(pressure=100),Wed Sep 13 12:26:39 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:26:39 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:26:43 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:26:45 2023,
close_valve(channel=0),Wed Sep 13 12:26:47 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:26:48 2023,
dispense(pressure=100),Wed Sep 13 12:26:49 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:26:49 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:26:52 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:27:14 2023,
close_valve(channel=0),Wed Sep 13 12:27:16 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:27:17 2023,
dispense(pressure=100),Wed Sep 13 12:27:18 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:27:18 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:27:20 2023,
dispense(pressure=100),Wed Sep 13 12:27:43 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:27:43 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:27:46 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:29:52 2023,
close_valve(channel=0),Wed Sep 13 12:29:54 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:29:55 2023,
dispense(pressure=100),Wed Sep 13 12:30:04 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:30:04 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:30:08 2023,
dispense(pressure=100),Wed Sep 13 12:30:15 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:30:15 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:30:18 2023,
dispense(pressure=100),Wed Sep 13 12:30:25 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 12:30:25 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 12:30:27 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:30:37 2023,
close_valve(channel=0),Wed Sep 13 12:30:39 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:30:40 2023,
dispense(pressure=100),Wed Sep 13 12:30:49 2023,
