Seyonic Pipettor Initializing...,Thu Aug 24 14:42:26 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:48:27 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:48:30 2023,
close_valve(channel=0),Thu Aug 24 14:48:32 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:48:33 2023,
dispense(pressure=100),Thu Aug 24 14:48:35 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:48:35 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:48:37 2023,
dispense(pressure=100),Thu Aug 24 14:48:42 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:48:42 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:48:44 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:51:18 2023,
close_valve(channel=0),Thu Aug 24 14:51:19 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:51:21 2023,
dispense(pressure=100),Thu Aug 24 14:51:29 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:51:29 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:51:32 2023,
dispense(pressure=100),Thu Aug 24 14:51:37 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:51:37 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:51:39 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:51:50 2023,
close_valve(channel=0),Thu Aug 24 14:51:52 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:51:53 2023,
dispense(pressure=100),Thu Aug 24 14:52:05 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:52:05 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:52:08 2023,
dispense(pressure=100),Thu Aug 24 14:52:12 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:52:12 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:52:14 2023,
dispense(pressure=100),Thu Aug 24 14:52:18 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:52:18 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:52:20 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:52:23 2023,
close_valve(channel=0),Thu Aug 24 14:52:24 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:52:25 2023,
dispense(pressure=200),Thu Aug 24 14:52:32 2023,
set_pressure(pressure=200; direction=1),Thu Aug 24 14:52:32 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:52:34 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:52:41 2023,
close_valve(channel=0),Thu Aug 24 14:52:42 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:52:43 2023,
dispense(pressure=200),Thu Aug 24 14:52:49 2023,
set_pressure(pressure=200; direction=1),Thu Aug 24 14:52:49 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:52:52 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:52:59 2023,
close_valve(channel=0),Thu Aug 24 14:53:00 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:53:01 2023,
dispense(pressure=200),Thu Aug 24 14:53:07 2023,
set_pressure(pressure=200; direction=1),Thu Aug 24 14:53:07 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:53:10 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:53:17 2023,
close_valve(channel=0),Thu Aug 24 14:53:18 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:53:19 2023,
dispense(pressure=200),Thu Aug 24 14:53:25 2023,
set_pressure(pressure=200; direction=1),Thu Aug 24 14:53:25 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:53:28 2023,
dispense(pressure=100),Thu Aug 24 14:53:38 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:53:38 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:53:40 2023,
dispense(pressure=100),Thu Aug 24 14:53:44 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:53:44 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:53:46 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 15:00:12 2023,
close_valve(channel=0),Thu Aug 24 15:00:14 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 15:00:15 2023,
dispense(pressure=100),Thu Aug 24 15:00:26 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:00:26 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:00:28 2023,
dispense(pressure=100),Thu Aug 24 15:00:32 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:00:32 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:00:34 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 15:00:46 2023,
close_valve(channel=0),Thu Aug 24 15:00:48 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 15:00:49 2023,
dispense(pressure=100),Thu Aug 24 15:00:59 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:00:59 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:01:02 2023,
dispense(pressure=100),Thu Aug 24 15:01:06 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:01:06 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:01:08 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 15:01:39 2023,
close_valve(channel=0),Thu Aug 24 15:01:41 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 15:01:42 2023,
dispense(pressure=100),Thu Aug 24 15:01:51 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:01:51 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:01:53 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 15:02:16 2023,
close_valve(channel=0),Thu Aug 24 15:02:17 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 15:02:18 2023,
dispense(pressure=100),Thu Aug 24 15:02:28 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:02:28 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:02:30 2023,
dispense(pressure=100),Thu Aug 24 15:02:34 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:02:34 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:02:36 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 15:02:45 2023,
close_valve(channel=0),Thu Aug 24 15:02:47 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 15:02:48 2023,
dispense(pressure=100),Thu Aug 24 15:02:57 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:02:57 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:02:59 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 15:03:22 2023,
close_valve(channel=0),Thu Aug 24 15:03:23 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 15:03:24 2023,
dispense(pressure=100),Thu Aug 24 15:03:34 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:03:34 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:03:36 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 15:04:09 2023,
close_valve(channel=0),Thu Aug 24 15:04:10 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 15:04:11 2023,
dispense(pressure=100),Thu Aug 24 15:04:22 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:04:22 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:04:24 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 15:04:35 2023,
close_valve(channel=0),Thu Aug 24 15:04:36 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 15:04:37 2023,
dispense(pressure=100),Thu Aug 24 15:04:48 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:04:48 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:04:50 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 15:08:23 2023,
close_valve(channel=0),Thu Aug 24 15:08:25 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 15:08:26 2023,
dispense(pressure=100),Thu Aug 24 15:08:36 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:08:36 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:08:38 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 15:08:40 2023,
close_valve(channel=0),Thu Aug 24 15:08:41 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 15:08:42 2023,
dispense(pressure=100),Thu Aug 24 15:08:43 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:08:43 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:08:45 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 15:08:47 2023,
close_valve(channel=0),Thu Aug 24 15:08:48 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 15:08:49 2023,
dispense(pressure=100),Thu Aug 24 15:08:50 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:08:50 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:08:52 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 15:08:54 2023,
close_valve(channel=0),Thu Aug 24 15:08:56 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 15:08:57 2023,
dispense(pressure=100),Thu Aug 24 15:08:58 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:08:58 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:09:00 2023,
set_pressure(pressure=-8; direction=None),Thu Aug 24 15:09:02 2023,
close_valve(channel=0),Thu Aug 24 15:09:03 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 15:09:04 2023,
dispense(pressure=20),Thu Aug 24 15:09:06 2023,
set_pressure(pressure=20; direction=1),Thu Aug 24 15:09:06 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:09:08 2023,
dispense(pressure=20),Thu Aug 24 15:09:13 2023,
set_pressure(pressure=20; direction=1),Thu Aug 24 15:09:13 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:09:15 2023,
dispense(pressure=100),Thu Aug 24 15:10:20 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 15:10:20 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 15:10:22 2023,
