Seyonic Pipettor Initializing...,Tue Jun  6 11:04:03 2023,
set_pressure(pressure=200; direction=1),Tue Jun  6 11:24:33 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:24:36 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:24:44 2023,
close_valve(channel=0),Tue Jun  6 11:24:46 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:24:47 2023,
dispense(pressure=200),Tue Jun  6 11:24:57 2023,
set_pressure(pressure=200; direction=1),Tue Jun  6 11:24:57 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:24:59 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:25:09 2023,
close_valve(channel=0),Tue Jun  6 11:25:11 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:25:12 2023,
dispense(pressure=200),Tue Jun  6 11:25:21 2023,
set_pressure(pressure=200; direction=1),Tue Jun  6 11:25:21 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:25:23 2023,
dispense(pressure=100),Tue Jun  6 11:25:45 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:25:45 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:25:47 2023,
dispense(pressure=100),Tue Jun  6 11:25:59 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:25:59 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:26:01 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:35:16 2023,
close_valve(channel=0),Tue Jun  6 11:35:18 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:35:19 2023,
dispense(pressure=100),Tue Jun  6 11:35:38 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:35:38 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:35:41 2023,
dispense(pressure=100),Tue Jun  6 11:35:46 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:35:46 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:35:48 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:36:05 2023,
close_valve(channel=0),Tue Jun  6 11:36:07 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:36:08 2023,
dispense(pressure=100),Tue Jun  6 11:36:25 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:36:25 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:36:28 2023,
dispense(pressure=100),Tue Jun  6 11:36:33 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:36:33 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:36:35 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:37:24 2023,
close_valve(channel=0),Tue Jun  6 11:37:26 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:37:27 2023,
dispense(pressure=100),Tue Jun  6 11:37:42 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:37:42 2023,
