Seyonic Pipettor Initializing...,Tue Nov  7 13:01:06 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:40:24 2023,
dispense(pressure=100),Tue Nov  7 13:40:31 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:40:31 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:40:34 2023,
dispense(pressure=100),Tue Nov  7 13:40:41 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:40:41 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:40:43 2023,
dispense(pressure=100),Tue Nov  7 13:40:50 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:40:50 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:40:52 2023,
dispense(pressure=100),Tue Nov  7 13:40:59 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:40:59 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:41:02 2023,
dispense(pressure=100),Tue Nov  7 13:41:13 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:41:13 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:41:15 2023,
dispense(pressure=100),Tue Nov  7 13:41:20 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:41:20 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:41:22 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:41:31 2023,
close_valve(channel=0),Tue Nov  7 13:41:35 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:41:36 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:41:41 2023,
close_valve(channel=0),Tue Nov  7 13:41:42 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:41:43 2023,
dispense(pressure=100),Tue Nov  7 13:42:36 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:42:36 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:42:38 2023,
dispense(pressure=100),Tue Nov  7 13:42:45 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:42:45 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:42:48 2023,
dispense(pressure=100),Tue Nov  7 13:42:55 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:42:55 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:42:57 2023,
dispense(pressure=100),Tue Nov  7 13:43:04 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:43:04 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:43:06 2023,
dispense(pressure=100),Tue Nov  7 13:43:14 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:43:14 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:43:16 2023,
dispense(pressure=100),Tue Nov  7 13:43:27 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:43:27 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:43:29 2023,
dispense(pressure=100),Tue Nov  7 13:43:34 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:43:34 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:43:36 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:43:45 2023,
close_valve(channel=0),Tue Nov  7 13:43:50 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:43:51 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:43:55 2023,
close_valve(channel=0),Tue Nov  7 13:43:56 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:43:57 2023,
dispense(pressure=100),Tue Nov  7 13:44:50 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:44:50 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:44:52 2023,
dispense(pressure=100),Tue Nov  7 13:44:59 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:44:59 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:45:02 2023,
dispense(pressure=100),Tue Nov  7 13:45:09 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:45:09 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:45:11 2023,
dispense(pressure=100),Tue Nov  7 13:45:18 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:45:18 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:45:21 2023,
dispense(pressure=100),Tue Nov  7 13:45:28 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:45:28 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:45:31 2023,
dispense(pressure=100),Tue Nov  7 13:45:41 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:45:41 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:45:44 2023,
dispense(pressure=100),Tue Nov  7 13:45:49 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:45:49 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:45:51 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:45:53 2023,
close_valve(channel=0),Tue Nov  7 13:45:56 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:45:57 2023,
dispense(pressure=100),Tue Nov  7 13:46:05 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:46:05 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:46:09 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:46:12 2023,
close_valve(channel=0),Tue Nov  7 13:46:15 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:46:16 2023,
dispense(pressure=100),Tue Nov  7 13:46:18 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:46:18 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:46:22 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:46:24 2023,
close_valve(channel=0),Tue Nov  7 13:46:27 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:46:28 2023,
dispense(pressure=100),Tue Nov  7 13:46:30 2023,
