Seyonic Pipettor Initializing...,Fri Nov  3 14:49:02 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:58:44 2023,
dispense(pressure=100),Fri Nov  3 14:58:48 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:58:48 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:58:50 2023,
dispense(pressure=100),Fri Nov  3 14:58:54 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 14:58:54 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:58:56 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:59:00 2023,
close_valve(channel=0),Fri Nov  3 14:59:01 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:59:02 2023,
dispense(pressure=200),Fri Nov  3 14:59:08 2023,
set_pressure(pressure=200; direction=1),Fri Nov  3 14:59:08 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:59:10 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:59:18 2023,
close_valve(channel=0),Fri Nov  3 14:59:19 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:59:20 2023,
dispense(pressure=200),Fri Nov  3 14:59:26 2023,
set_pressure(pressure=200; direction=1),Fri Nov  3 14:59:26 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:59:29 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:59:36 2023,
close_valve(channel=0),Fri Nov  3 14:59:37 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:59:38 2023,
dispense(pressure=200),Fri Nov  3 14:59:44 2023,
set_pressure(pressure=200; direction=1),Fri Nov  3 14:59:44 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 14:59:46 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 14:59:54 2023,
close_valve(channel=0),Fri Nov  3 14:59:55 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 14:59:56 2023,
dispense(pressure=200),Fri Nov  3 15:00:02 2023,
set_pressure(pressure=200; direction=1),Fri Nov  3 15:00:02 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:00:05 2023,
dispense(pressure=100),Fri Nov  3 15:00:15 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:00:15 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:00:17 2023,
dispense(pressure=100),Fri Nov  3 15:00:21 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:00:21 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:00:23 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 15:06:50 2023,
close_valve(channel=0),Fri Nov  3 15:06:52 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:06:53 2023,
dispense(pressure=100),Fri Nov  3 15:07:03 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:07:03 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:07:06 2023,
dispense(pressure=100),Fri Nov  3 15:07:10 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:07:10 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:07:12 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 15:07:24 2023,
close_valve(channel=0),Fri Nov  3 15:07:25 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:07:26 2023,
dispense(pressure=100),Fri Nov  3 15:07:37 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:07:37 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:07:39 2023,
dispense(pressure=100),Fri Nov  3 15:07:44 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:07:44 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:07:46 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 15:08:18 2023,
close_valve(channel=0),Fri Nov  3 15:08:20 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:08:21 2023,
dispense(pressure=100),Fri Nov  3 15:08:30 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:08:30 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:08:42 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 15:09:04 2023,
close_valve(channel=1),Fri Nov  3 15:09:05 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:09:06 2023,
close_valve(channel=0),Fri Nov  3 15:09:06 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:09:07 2023,
dispense(pressure=100),Fri Nov  3 15:09:16 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:09:16 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:09:19 2023,
dispense(pressure=100),Fri Nov  3 15:09:23 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:09:23 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:09:25 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 15:09:34 2023,
close_valve(channel=0),Fri Nov  3 15:09:36 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:09:37 2023,
dispense(pressure=100),Fri Nov  3 15:09:46 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:09:46 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:09:57 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 15:10:20 2023,
close_valve(channel=1),Fri Nov  3 15:10:21 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:10:22 2023,
close_valve(channel=0),Fri Nov  3 15:10:22 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:10:23 2023,
dispense(pressure=100),Fri Nov  3 15:10:32 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:10:32 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:10:35 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 15:11:09 2023,
close_valve(channel=0),Fri Nov  3 15:11:10 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:11:11 2023,
dispense(pressure=100),Fri Nov  3 15:11:22 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:11:22 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:11:24 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 15:11:35 2023,
close_valve(channel=0),Fri Nov  3 15:11:37 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:11:38 2023,
dispense(pressure=100),Fri Nov  3 15:11:48 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:11:48 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:11:50 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 15:15:25 2023,
close_valve(channel=0),Fri Nov  3 15:15:26 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:15:27 2023,
dispense(pressure=100),Fri Nov  3 15:15:37 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:15:37 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:15:39 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 15:15:41 2023,
close_valve(channel=0),Fri Nov  3 15:15:42 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:15:44 2023,
dispense(pressure=100),Fri Nov  3 15:15:45 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:15:45 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:15:46 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 15:15:48 2023,
close_valve(channel=0),Fri Nov  3 15:15:50 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:15:51 2023,
dispense(pressure=100),Fri Nov  3 15:15:52 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:15:52 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:15:54 2023,
set_pressure(pressure=-100; direction=None),Fri Nov  3 15:15:56 2023,
close_valve(channel=0),Fri Nov  3 15:15:57 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:15:58 2023,
dispense(pressure=100),Fri Nov  3 15:15:59 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:15:59 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:16:01 2023,
set_pressure(pressure=-8; direction=None),Fri Nov  3 15:16:03 2023,
close_valve(channel=0),Fri Nov  3 15:16:04 2023,
set_pressure(pressure=0; direction=2),Fri Nov  3 15:16:05 2023,
dispense(pressure=20),Fri Nov  3 15:16:07 2023,
set_pressure(pressure=20; direction=1),Fri Nov  3 15:16:07 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:16:09 2023,
dispense(pressure=20),Fri Nov  3 15:16:14 2023,
set_pressure(pressure=20; direction=1),Fri Nov  3 15:16:14 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:16:16 2023,
dispense(pressure=100),Fri Nov  3 15:17:22 2023,
set_pressure(pressure=100; direction=1),Fri Nov  3 15:17:22 2023,
set_pressure(pressure=0; direction=1),Fri Nov  3 15:17:24 2023,
