Seyonic Pipettor Initializing...,Thu Sep 28 12:19:11 2023,
dispense(pressure=100),Thu Sep 28 12:23:32 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:23:32 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:23:34 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:23:37 2023,
close_valve(channel=0),Thu Sep 28 12:23:39 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:23:40 2023,
dispense(pressure=100),Thu Sep 28 12:23:42 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:23:42 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:23:45 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:23:48 2023,
close_valve(channel=0),Thu Sep 28 12:23:49 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:23:50 2023,
dispense(pressure=100),Thu Sep 28 12:23:52 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:23:52 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:23:55 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:23:58 2023,
close_valve(channel=0),Thu Sep 28 12:24:00 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:24:01 2023,
dispense(pressure=100),Thu Sep 28 12:24:03 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:24:03 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:24:05 2023,
dispense(pressure=100),Thu Sep 28 12:24:11 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:24:11 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:24:13 2023,
dispense(pressure=100),Thu Sep 28 12:24:17 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:24:17 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:24:19 2023,
dispense(pressure=100),Thu Sep 28 12:24:23 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:24:23 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:24:26 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:25:02 2023,
close_valve(channel=0),Thu Sep 28 12:25:04 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:25:05 2023,
dispense(pressure=100),Thu Sep 28 12:25:07 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:25:07 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:25:09 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:25:12 2023,
close_valve(channel=0),Thu Sep 28 12:25:14 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:25:15 2023,
dispense(pressure=100),Thu Sep 28 12:25:17 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:25:17 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:25:19 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:25:22 2023,
close_valve(channel=0),Thu Sep 28 12:25:24 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:25:25 2023,
dispense(pressure=100),Thu Sep 28 12:25:27 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:25:27 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:25:29 2023,
dispense(pressure=100),Thu Sep 28 12:25:34 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:25:34 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:25:36 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:28:11 2023,
close_valve(channel=0),Thu Sep 28 12:28:13 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:28:14 2023,
dispense(pressure=100),Thu Sep 28 12:28:23 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:28:23 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:28:25 2023,
dispense(pressure=100),Thu Sep 28 12:28:31 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:28:31 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:28:33 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:28:44 2023,
close_valve(channel=0),Thu Sep 28 12:28:46 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:28:47 2023,
dispense(pressure=100),Thu Sep 28 12:28:59 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:28:59 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:29:01 2023,
dispense(pressure=100),Thu Sep 28 12:29:05 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:29:05 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:29:08 2023,
dispense(pressure=100),Thu Sep 28 12:29:12 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:29:12 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:29:14 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:29:17 2023,
close_valve(channel=0),Thu Sep 28 12:29:18 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:29:19 2023,
dispense(pressure=200),Thu Sep 28 12:29:25 2023,
set_pressure(pressure=200; direction=1),Thu Sep 28 12:29:25 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:29:28 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:29:35 2023,
close_valve(channel=0),Thu Sep 28 12:29:36 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:29:37 2023,
dispense(pressure=200),Thu Sep 28 12:29:44 2023,
set_pressure(pressure=200; direction=1),Thu Sep 28 12:29:44 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:29:46 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:29:53 2023,
close_valve(channel=0),Thu Sep 28 12:29:54 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:29:56 2023,
dispense(pressure=200),Thu Sep 28 12:30:02 2023,
set_pressure(pressure=200; direction=1),Thu Sep 28 12:30:02 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:30:04 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:30:11 2023,
close_valve(channel=0),Thu Sep 28 12:30:13 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:30:14 2023,
dispense(pressure=200),Thu Sep 28 12:30:20 2023,
set_pressure(pressure=200; direction=1),Thu Sep 28 12:30:20 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:30:22 2023,
dispense(pressure=100),Thu Sep 28 12:30:32 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:30:32 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:30:34 2023,
dispense(pressure=100),Thu Sep 28 12:30:38 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:30:38 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:30:40 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:37:08 2023,
close_valve(channel=0),Thu Sep 28 12:37:09 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:37:10 2023,
dispense(pressure=100),Thu Sep 28 12:37:21 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:37:21 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:37:23 2023,
dispense(pressure=100),Thu Sep 28 12:37:27 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:37:27 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:37:29 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:37:41 2023,
close_valve(channel=0),Thu Sep 28 12:37:43 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:37:44 2023,
dispense(pressure=100),Thu Sep 28 12:37:54 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:37:54 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:37:57 2023,
dispense(pressure=100),Thu Sep 28 12:38:01 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:38:01 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:38:03 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:38:35 2023,
close_valve(channel=0),Thu Sep 28 12:38:37 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:38:38 2023,
dispense(pressure=100),Thu Sep 28 12:38:47 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:38:47 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:38:59 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:39:21 2023,
close_valve(channel=1),Thu Sep 28 12:39:22 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:39:23 2023,
close_valve(channel=0),Thu Sep 28 12:39:23 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:39:24 2023,
dispense(pressure=100),Thu Sep 28 12:39:33 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:39:33 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:39:36 2023,
dispense(pressure=100),Thu Sep 28 12:39:40 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:39:40 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:39:42 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:39:51 2023,
close_valve(channel=0),Thu Sep 28 12:39:53 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:39:54 2023,
dispense(pressure=100),Thu Sep 28 12:40:03 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:40:03 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:40:15 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:40:37 2023,
close_valve(channel=1),Thu Sep 28 12:40:38 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:40:39 2023,
close_valve(channel=0),Thu Sep 28 12:40:39 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:40:40 2023,
dispense(pressure=100),Thu Sep 28 12:40:49 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:40:49 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:40:52 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:41:26 2023,
close_valve(channel=0),Thu Sep 28 12:41:27 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:41:28 2023,
dispense(pressure=100),Thu Sep 28 12:41:39 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:41:39 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:41:41 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:41:52 2023,
close_valve(channel=0),Thu Sep 28 12:41:54 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:41:55 2023,
dispense(pressure=100),Thu Sep 28 12:42:05 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:42:05 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:42:07 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:45:42 2023,
close_valve(channel=0),Thu Sep 28 12:45:43 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:45:44 2023,
dispense(pressure=100),Thu Sep 28 12:45:54 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:45:54 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:45:56 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:45:58 2023,
close_valve(channel=0),Thu Sep 28 12:45:59 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:46:00 2023,
dispense(pressure=100),Thu Sep 28 12:46:01 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:46:02 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:46:03 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:46:05 2023,
close_valve(channel=0),Thu Sep 28 12:46:07 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:46:08 2023,
dispense(pressure=100),Thu Sep 28 12:46:09 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:46:09 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:46:11 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:46:13 2023,
close_valve(channel=0),Thu Sep 28 12:46:14 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:46:15 2023,
dispense(pressure=100),Thu Sep 28 12:46:16 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:46:16 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:46:18 2023,
set_pressure(pressure=-8; direction=None),Thu Sep 28 12:46:20 2023,
close_valve(channel=0),Thu Sep 28 12:46:21 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:46:22 2023,
dispense(pressure=20),Thu Sep 28 12:46:24 2023,
set_pressure(pressure=20; direction=1),Thu Sep 28 12:46:24 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:46:26 2023,
dispense(pressure=20),Thu Sep 28 12:46:31 2023,
set_pressure(pressure=20; direction=1),Thu Sep 28 12:46:31 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:46:33 2023,
dispense(pressure=100),Thu Sep 28 12:47:39 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:47:39 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:47:41 2023,
