Seyonic Pipettor Initializing...,Tue Oct  3 11:17:05 2023,
close_valve(channel=0),Tue Oct  3 11:19:40 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:19:41 2023,
dispense(pressure=100),Tue Oct  3 11:19:51 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:19:51 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:19:53 2023,
dispense(pressure=100),Tue Oct  3 11:19:57 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:19:57 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:19:59 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:20:35 2023,
close_valve(channel=0),Tue Oct  3 11:20:37 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:20:38 2023,
dispense(pressure=100),Tue Oct  3 11:20:48 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:20:48 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:20:50 2023,
dispense(pressure=100),Tue Oct  3 11:20:54 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:20:54 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:20:56 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:20:59 2023,
close_valve(channel=0),Tue Oct  3 11:21:01 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:21:02 2023,
dispense(pressure=100),Tue Oct  3 11:21:04 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:21:04 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:21:07 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:21:10 2023,
close_valve(channel=0),Tue Oct  3 11:21:12 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:21:13 2023,
dispense(pressure=100),Tue Oct  3 11:21:15 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:21:15 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:21:17 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:21:20 2023,
close_valve(channel=0),Tue Oct  3 11:21:22 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:21:23 2023,
dispense(pressure=100),Tue Oct  3 11:21:25 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:21:25 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:21:28 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:21:31 2023,
close_valve(channel=0),Tue Oct  3 11:21:32 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:21:33 2023,
dispense(pressure=100),Tue Oct  3 11:21:35 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:21:35 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:21:38 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:21:41 2023,
close_valve(channel=0),Tue Oct  3 11:21:43 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:21:44 2023,
dispense(pressure=100),Tue Oct  3 11:21:46 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:21:46 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:21:48 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:21:51 2023,
close_valve(channel=0),Tue Oct  3 11:21:53 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:21:54 2023,
dispense(pressure=100),Tue Oct  3 11:21:56 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:21:56 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:21:59 2023,
dispense(pressure=100),Tue Oct  3 11:22:05 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:22:05 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:22:07 2023,
dispense(pressure=100),Tue Oct  3 11:22:11 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:22:11 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:22:13 2023,
dispense(pressure=100),Tue Oct  3 11:22:17 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:22:17 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:22:19 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:22:55 2023,
close_valve(channel=0),Tue Oct  3 11:22:57 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:22:58 2023,
dispense(pressure=100),Tue Oct  3 11:23:00 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:23:00 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:23:02 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:23:05 2023,
close_valve(channel=0),Tue Oct  3 11:23:07 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:23:08 2023,
dispense(pressure=100),Tue Oct  3 11:23:10 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:23:10 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:23:12 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:23:15 2023,
close_valve(channel=0),Tue Oct  3 11:23:17 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:23:18 2023,
dispense(pressure=100),Tue Oct  3 11:23:20 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:23:20 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:23:22 2023,
dispense(pressure=100),Tue Oct  3 11:23:27 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:23:27 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:23:29 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:26:04 2023,
close_valve(channel=0),Tue Oct  3 11:26:06 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:26:07 2023,
dispense(pressure=100),Tue Oct  3 11:26:16 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:26:16 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:26:19 2023,
dispense(pressure=100),Tue Oct  3 11:26:24 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:26:24 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:26:26 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:26:37 2023,
close_valve(channel=0),Tue Oct  3 11:26:39 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:26:40 2023,
dispense(pressure=100),Tue Oct  3 11:26:52 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:26:52 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:26:55 2023,
dispense(pressure=100),Tue Oct  3 11:26:59 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:26:59 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:27:01 2023,
dispense(pressure=100),Tue Oct  3 11:27:05 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:27:05 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:27:07 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:27:10 2023,
close_valve(channel=0),Tue Oct  3 11:27:12 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:27:13 2023,
dispense(pressure=200),Tue Oct  3 11:27:19 2023,
set_pressure(pressure=200; direction=1),Tue Oct  3 11:27:19 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:27:21 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:27:28 2023,
close_valve(channel=0),Tue Oct  3 11:27:30 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:27:31 2023,
dispense(pressure=200),Tue Oct  3 11:27:37 2023,
set_pressure(pressure=200; direction=1),Tue Oct  3 11:27:37 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:27:39 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:27:46 2023,
close_valve(channel=0),Tue Oct  3 11:27:48 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:27:49 2023,
dispense(pressure=200),Tue Oct  3 11:27:55 2023,
set_pressure(pressure=200; direction=1),Tue Oct  3 11:27:55 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:27:57 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:28:04 2023,
close_valve(channel=0),Tue Oct  3 11:28:06 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:28:07 2023,
dispense(pressure=200),Tue Oct  3 11:28:13 2023,
set_pressure(pressure=200; direction=1),Tue Oct  3 11:28:13 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:28:15 2023,
dispense(pressure=100),Tue Oct  3 11:28:26 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:28:26 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:28:28 2023,
dispense(pressure=100),Tue Oct  3 11:28:32 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:28:32 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:28:34 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:35:00 2023,
close_valve(channel=0),Tue Oct  3 11:35:02 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:35:03 2023,
dispense(pressure=100),Tue Oct  3 11:35:14 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:35:14 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:35:16 2023,
dispense(pressure=100),Tue Oct  3 11:35:20 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:35:20 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:35:22 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:35:34 2023,
close_valve(channel=0),Tue Oct  3 11:35:35 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:35:37 2023,
dispense(pressure=100),Tue Oct  3 11:35:47 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:35:47 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:35:50 2023,
dispense(pressure=100),Tue Oct  3 11:35:54 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:35:54 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:35:56 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:36:29 2023,
close_valve(channel=0),Tue Oct  3 11:36:30 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:36:31 2023,
dispense(pressure=100),Tue Oct  3 11:36:40 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:36:40 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:36:52 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:37:14 2023,
close_valve(channel=1),Tue Oct  3 11:37:15 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:37:16 2023,
close_valve(channel=0),Tue Oct  3 11:37:16 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:37:17 2023,
dispense(pressure=100),Tue Oct  3 11:37:26 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:37:26 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:37:28 2023,
dispense(pressure=100),Tue Oct  3 11:37:33 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:37:33 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:37:35 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:37:44 2023,
close_valve(channel=0),Tue Oct  3 11:37:46 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:37:47 2023,
dispense(pressure=100),Tue Oct  3 11:37:55 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:37:56 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:38:07 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:38:29 2023,
close_valve(channel=1),Tue Oct  3 11:38:30 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:38:31 2023,
close_valve(channel=0),Tue Oct  3 11:38:31 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:38:32 2023,
dispense(pressure=100),Tue Oct  3 11:38:41 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:38:41 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:38:44 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:39:18 2023,
close_valve(channel=0),Tue Oct  3 11:39:19 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:39:20 2023,
dispense(pressure=100),Tue Oct  3 11:39:30 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:39:30 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:39:32 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:39:44 2023,
close_valve(channel=0),Tue Oct  3 11:39:45 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:39:46 2023,
dispense(pressure=100),Tue Oct  3 11:39:56 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:39:56 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:39:58 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:43:32 2023,
close_valve(channel=0),Tue Oct  3 11:43:34 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:43:35 2023,
dispense(pressure=100),Tue Oct  3 11:43:45 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:43:45 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:43:47 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:43:49 2023,
close_valve(channel=0),Tue Oct  3 11:43:50 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:43:51 2023,
dispense(pressure=100),Tue Oct  3 11:43:52 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:43:52 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:43:54 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:43:56 2023,
close_valve(channel=0),Tue Oct  3 11:43:57 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:43:58 2023,
dispense(pressure=100),Tue Oct  3 11:43:59 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:43:59 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:44:01 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:44:03 2023,
close_valve(channel=0),Tue Oct  3 11:44:04 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:44:06 2023,
dispense(pressure=100),Tue Oct  3 11:44:07 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:44:07 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:44:08 2023,
set_pressure(pressure=-8; direction=None),Tue Oct  3 11:44:10 2023,
close_valve(channel=0),Tue Oct  3 11:44:12 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:44:13 2023,
dispense(pressure=20),Tue Oct  3 11:44:15 2023,
set_pressure(pressure=20; direction=1),Tue Oct  3 11:44:15 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:44:17 2023,
dispense(pressure=20),Tue Oct  3 11:44:22 2023,
set_pressure(pressure=20; direction=1),Tue Oct  3 11:44:22 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:44:24 2023,
dispense(pressure=100),Tue Oct  3 11:45:29 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:45:29 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:45:31 2023,
