Seyonic Pipettor Initializing...,Mon Jul 10 16:00:32 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:03:17 2023,
dispense(pressure=100),Mon Jul 10 16:03:24 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:03:24 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:03:26 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:03:30 2023,
close_valve(channel=0),Mon Jul 10 16:03:34 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:03:35 2023,
dispense(pressure=100),Mon Jul 10 16:03:42 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:03:42 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:03:47 2023,
dispense(pressure=100),Mon Jul 10 16:03:54 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:03:54 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:03:56 2023,
dispense(pressure=100),Mon Jul 10 16:04:04 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:04:04 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:04:06 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:04:15 2023,
close_valve(channel=0),Mon Jul 10 16:04:18 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:04:19 2023,
dispense(pressure=100),Mon Jul 10 16:04:21 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:04:21 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:04:25 2023,
dispense(pressure=100),Mon Jul 10 16:04:32 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:04:32 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:04:34 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:04:37 2023,
close_valve(channel=0),Mon Jul 10 16:04:42 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:04:43 2023,
dispense(pressure=100),Mon Jul 10 16:04:50 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:04:50 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:04:55 2023,
dispense(pressure=100),Mon Jul 10 16:05:02 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:05:02 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:05:04 2023,
dispense(pressure=100),Mon Jul 10 16:05:11 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:05:11 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:05:14 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:25:45 2023,
close_valve(channel=0),Mon Jul 10 16:25:50 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:25:51 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:26:04 2023,
close_valve(channel=0),Mon Jul 10 16:26:05 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:26:06 2023,
dispense(pressure=20),Mon Jul 10 16:26:12 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:26:12 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:26:17 2023,
dispense(pressure=20),Mon Jul 10 16:26:19 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:26:19 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:26:25 2023,
dispense(pressure=20),Mon Jul 10 16:26:27 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:26:27 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:26:32 2023,
dispense(pressure=20),Mon Jul 10 16:26:34 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:26:34 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:26:40 2023,
dispense(pressure=20),Mon Jul 10 16:26:42 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:26:42 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:26:48 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:26:58 2023,
close_valve(channel=0),Mon Jul 10 16:27:02 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:27:03 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:27:16 2023,
close_valve(channel=0),Mon Jul 10 16:27:18 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:27:19 2023,
dispense(pressure=20),Mon Jul 10 16:27:25 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:27:25 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:27:30 2023,
dispense(pressure=20),Mon Jul 10 16:27:32 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:27:32 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:27:38 2023,
dispense(pressure=20),Mon Jul 10 16:27:40 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:27:40 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:27:45 2023,
dispense(pressure=20),Mon Jul 10 16:27:47 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:27:47 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:27:53 2023,
dispense(pressure=20),Mon Jul 10 16:27:55 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:27:55 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:28:00 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:28:10 2023,
close_valve(channel=0),Mon Jul 10 16:28:15 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:28:16 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:28:29 2023,
close_valve(channel=0),Mon Jul 10 16:28:30 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:28:31 2023,
dispense(pressure=20),Mon Jul 10 16:28:37 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:28:37 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:28:43 2023,
dispense(pressure=20),Mon Jul 10 16:28:45 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:28:45 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:28:50 2023,
dispense(pressure=20),Mon Jul 10 16:28:52 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:28:52 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:28:58 2023,
dispense(pressure=20),Mon Jul 10 16:29:00 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:29:00 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:29:05 2023,
dispense(pressure=20),Mon Jul 10 16:29:07 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:29:07 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:29:13 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:29:23 2023,
close_valve(channel=0),Mon Jul 10 16:29:28 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:29:29 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:29:42 2023,
close_valve(channel=0),Mon Jul 10 16:29:43 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:29:44 2023,
dispense(pressure=20),Mon Jul 10 16:29:50 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:29:50 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:29:56 2023,
dispense(pressure=20),Mon Jul 10 16:29:58 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:29:58 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:30:03 2023,
dispense(pressure=20),Mon Jul 10 16:30:05 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:30:05 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:30:11 2023,
dispense(pressure=20),Mon Jul 10 16:30:13 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:30:13 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:30:18 2023,
dispense(pressure=20),Mon Jul 10 16:30:20 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:30:20 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:30:26 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:30:36 2023,
close_valve(channel=0),Mon Jul 10 16:30:41 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:30:42 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:30:55 2023,
close_valve(channel=0),Mon Jul 10 16:30:56 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:30:57 2023,
dispense(pressure=20),Mon Jul 10 16:31:03 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:31:03 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:31:09 2023,
dispense(pressure=20),Mon Jul 10 16:31:11 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:31:11 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:31:16 2023,
dispense(pressure=20),Mon Jul 10 16:31:18 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:31:18 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:31:24 2023,
dispense(pressure=20),Mon Jul 10 16:31:26 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:31:26 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:31:31 2023,
dispense(pressure=20),Mon Jul 10 16:31:33 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:31:33 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:31:39 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:31:49 2023,
close_valve(channel=0),Mon Jul 10 16:31:54 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:31:55 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:32:08 2023,
close_valve(channel=0),Mon Jul 10 16:32:09 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:32:10 2023,
dispense(pressure=20),Mon Jul 10 16:32:16 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:32:16 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:32:22 2023,
dispense(pressure=20),Mon Jul 10 16:32:24 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:32:24 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:32:29 2023,
dispense(pressure=20),Mon Jul 10 16:32:31 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:32:31 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:32:37 2023,
dispense(pressure=20),Mon Jul 10 16:32:39 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:32:39 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:32:44 2023,
dispense(pressure=20),Mon Jul 10 16:32:46 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:32:46 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:32:52 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:33:02 2023,
close_valve(channel=0),Mon Jul 10 16:33:07 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:33:08 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:33:21 2023,
close_valve(channel=0),Mon Jul 10 16:33:22 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:33:23 2023,
dispense(pressure=20),Mon Jul 10 16:33:29 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:33:29 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:33:35 2023,
dispense(pressure=20),Mon Jul 10 16:33:37 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:33:37 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:33:42 2023,
dispense(pressure=20),Mon Jul 10 16:33:44 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:33:44 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:33:50 2023,
dispense(pressure=20),Mon Jul 10 16:33:52 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:33:52 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:33:57 2023,
dispense(pressure=20),Mon Jul 10 16:33:59 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:33:59 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:34:05 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:34:15 2023,
close_valve(channel=0),Mon Jul 10 16:34:19 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:34:20 2023,
dispense(pressure=200),Mon Jul 10 16:34:23 2023,
set_pressure(pressure=200; direction=1),Mon Jul 10 16:34:23 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:34:27 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:34:29 2023,
close_valve(channel=0),Mon Jul 10 16:34:33 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:34:34 2023,
dispense(pressure=200),Mon Jul 10 16:34:36 2023,
set_pressure(pressure=200; direction=1),Mon Jul 10 16:34:36 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:34:39 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:34:41 2023,
close_valve(channel=0),Mon Jul 10 16:34:45 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:34:46 2023,
dispense(pressure=200),Mon Jul 10 16:34:48 2023,
set_pressure(pressure=200; direction=1),Mon Jul 10 16:34:48 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:34:51 2023,
dispense(pressure=200),Mon Jul 10 16:34:56 2023,
set_pressure(pressure=200; direction=1),Mon Jul 10 16:34:56 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:34:58 2023,
dispense(pressure=200),Mon Jul 10 16:35:01 2023,
set_pressure(pressure=200; direction=1),Mon Jul 10 16:35:01 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:35:03 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:35:10 2023,
close_valve(channel=0),Mon Jul 10 16:35:14 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:35:15 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:35:29 2023,
close_valve(channel=0),Mon Jul 10 16:35:30 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:35:31 2023,
dispense(pressure=20),Mon Jul 10 16:35:37 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:35:37 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:35:42 2023,
dispense(pressure=20),Mon Jul 10 16:35:44 2023,
set_pressure(pressure=20; direction=1),Mon Jul 10 16:35:44 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:35:50 2023,
dispense(pressure=100),Mon Jul 10 16:36:01 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:36:01 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:36:04 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:38:15 2023,
close_valve(channel=0),Mon Jul 10 16:38:18 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:38:19 2023,
dispense(pressure=100),Mon Jul 10 16:38:27 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:38:27 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:38:30 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:38:32 2023,
close_valve(channel=0),Mon Jul 10 16:38:35 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:38:36 2023,
dispense(pressure=100),Mon Jul 10 16:38:38 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:38:38 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:38:41 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:38:43 2023,
close_valve(channel=0),Mon Jul 10 16:38:46 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:38:47 2023,
dispense(pressure=100),Mon Jul 10 16:38:49 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:38:49 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:38:52 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:38:55 2023,
close_valve(channel=0),Mon Jul 10 16:38:59 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:39:00 2023,
dispense(pressure=100),Mon Jul 10 16:39:12 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:39:12 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:39:16 2023,
dispense(pressure=100),Mon Jul 10 16:39:20 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:39:20 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:39:23 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:41:34 2023,
close_valve(channel=0),Mon Jul 10 16:41:37 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:41:38 2023,
dispense(pressure=100),Mon Jul 10 16:41:47 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:41:47 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:41:51 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:42:24 2023,
close_valve(channel=0),Mon Jul 10 16:42:26 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:42:27 2023,
dispense(pressure=100),Mon Jul 10 16:42:35 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:42:35 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:42:38 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:42:50 2023,
close_valve(channel=0),Mon Jul 10 16:42:52 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:42:53 2023,
dispense(pressure=100),Mon Jul 10 16:42:54 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:42:54 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:42:56 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:42:58 2023,
close_valve(channel=0),Mon Jul 10 16:43:00 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:43:01 2023,
dispense(pressure=100),Mon Jul 10 16:43:02 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:43:02 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:43:05 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:43:07 2023,
close_valve(channel=0),Mon Jul 10 16:43:09 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:43:10 2023,
dispense(pressure=100),Mon Jul 10 16:43:11 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:43:11 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:43:13 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:43:36 2023,
close_valve(channel=0),Mon Jul 10 16:43:37 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:43:38 2023,
dispense(pressure=100),Mon Jul 10 16:43:39 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:43:39 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:43:41 2023,
dispense(pressure=100),Mon Jul 10 16:44:04 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:44:04 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:44:06 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:46:09 2023,
close_valve(channel=0),Mon Jul 10 16:46:12 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:46:13 2023,
dispense(pressure=100),Mon Jul 10 16:46:22 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:46:22 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:46:25 2023,
dispense(pressure=100),Mon Jul 10 16:46:32 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:46:32 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:46:34 2023,
dispense(pressure=100),Mon Jul 10 16:46:41 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:46:41 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:46:43 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:46:52 2023,
close_valve(channel=0),Mon Jul 10 16:46:55 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:46:56 2023,
dispense(pressure=100),Mon Jul 10 16:47:05 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:47:05 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:47:08 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:47:10 2023,
close_valve(channel=0),Mon Jul 10 16:47:13 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:47:14 2023,
dispense(pressure=100),Mon Jul 10 16:47:15 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:47:15 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:47:18 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:47:30 2023,
close_valve(channel=0),Mon Jul 10 16:47:33 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:47:34 2023,
dispense(pressure=100),Mon Jul 10 16:47:43 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:47:43 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:47:47 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:48:18 2023,
close_valve(channel=0),Mon Jul 10 16:48:21 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:48:22 2023,
dispense(pressure=100),Mon Jul 10 16:48:31 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:48:31 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:48:34 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:48:46 2023,
close_valve(channel=0),Mon Jul 10 16:48:49 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:48:50 2023,
dispense(pressure=100),Mon Jul 10 16:48:51 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:48:51 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:48:54 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:49:06 2023,
close_valve(channel=0),Mon Jul 10 16:49:09 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:49:10 2023,
dispense(pressure=100),Mon Jul 10 16:49:19 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:49:19 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:49:23 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:49:56 2023,
close_valve(channel=0),Mon Jul 10 16:49:57 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:49:58 2023,
dispense(pressure=100),Mon Jul 10 16:50:09 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:50:09 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:50:10 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:50:22 2023,
close_valve(channel=0),Mon Jul 10 16:50:23 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:50:24 2023,
dispense(pressure=100),Mon Jul 10 16:50:35 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:50:35 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:50:37 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:56:09 2023,
close_valve(channel=0),Mon Jul 10 16:56:11 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:56:12 2023,
dispense(pressure=100),Mon Jul 10 16:56:22 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:56:22 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:56:24 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:56:26 2023,
close_valve(channel=0),Mon Jul 10 16:56:27 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:56:28 2023,
dispense(pressure=100),Mon Jul 10 16:56:29 2023,
set_pressure(pressure=100; direction=1),Mon Jul 10 16:56:29 2023,
set_pressure(pressure=0; direction=1),Mon Jul 10 16:56:31 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 10 16:56:33 2023,
close_valve(channel=0),Mon Jul 10 16:56:34 2023,
set_pressure(pressure=0; direction=2),Mon Jul 10 16:56:36 2023,
dispense(pressure=100),Mon Jul 10 16:56:37 2023,
