Seyonic Pipettor Initializing...,Tue Jun  6 12:45:18 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 12:49:51 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:49:53 2023,
dispense(pressure=100),Tue Jun  6 12:49:58 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 12:49:58 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:50:00 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 12:50:05 2023,
close_valve(channel=0),Tue Jun  6 12:50:06 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:50:07 2023,
dispense(pressure=10),Tue Jun  6 12:50:12 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 12:50:12 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:50:15 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 12:50:20 2023,
close_valve(channel=0),Tue Jun  6 12:50:21 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:50:23 2023,
dispense(pressure=10),Tue Jun  6 12:50:28 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 12:50:28 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:50:30 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 12:50:35 2023,
close_valve(channel=0),Tue Jun  6 12:50:37 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:50:38 2023,
dispense(pressure=10),Tue Jun  6 12:50:43 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 12:50:43 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:50:45 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 12:50:50 2023,
close_valve(channel=0),Tue Jun  6 12:50:51 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:50:52 2023,
dispense(pressure=10),Tue Jun  6 12:50:57 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 12:50:57 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:50:59 2023,
dispense(pressure=10),Tue Jun  6 12:51:04 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 12:51:04 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:51:06 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 12:51:10 2023,
close_valve(channel=0),Tue Jun  6 12:51:12 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 12:51:13 2023,
dispense(pressure=10),Tue Jun  6 12:51:34 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 12:51:34 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 12:51:36 2023,
open_valve(),Tue Jun  6 12:51:37 2023,
close_valve(channel=0),Tue Jun  6 12:51:48 2023,
