Seyonic Pipettor Initializing...,Wed Sep 13 14:58:02 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:01:56 2023,
dispense(pressure=100),Wed Sep 13 15:01:58 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:01:58 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:02:01 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:02:04 2023,
close_valve(channel=0),Wed Sep 13 15:02:05 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:02:06 2023,
dispense(pressure=100),Wed Sep 13 15:02:08 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:02:08 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:02:11 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:02:14 2023,
close_valve(channel=0),Wed Sep 13 15:02:16 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:02:17 2023,
dispense(pressure=100),Wed Sep 13 15:02:19 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:02:19 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:02:22 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:02:25 2023,
close_valve(channel=0),Wed Sep 13 15:02:27 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:02:28 2023,
dispense(pressure=100),Wed Sep 13 15:02:30 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:02:30 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:02:33 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:02:36 2023,
close_valve(channel=0),Wed Sep 13 15:02:37 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:02:38 2023,
dispense(pressure=100),Wed Sep 13 15:02:40 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:02:40 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:02:43 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:02:46 2023,
close_valve(channel=0),Wed Sep 13 15:02:48 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:02:49 2023,
dispense(pressure=100),Wed Sep 13 15:02:51 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:02:51 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:02:54 2023,
dispense(pressure=100),Wed Sep 13 15:03:00 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:03:00 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:03:02 2023,
dispense(pressure=100),Wed Sep 13 15:03:06 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:03:06 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:03:09 2023,
dispense(pressure=100),Wed Sep 13 15:03:13 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:03:13 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:03:15 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:03:50 2023,
close_valve(channel=0),Wed Sep 13 15:03:52 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:03:53 2023,
dispense(pressure=100),Wed Sep 13 15:03:55 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:03:55 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:03:57 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:04:00 2023,
close_valve(channel=0),Wed Sep 13 15:04:02 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:04:03 2023,
dispense(pressure=100),Wed Sep 13 15:04:05 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:04:05 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:04:07 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:04:10 2023,
close_valve(channel=0),Wed Sep 13 15:04:12 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:04:13 2023,
dispense(pressure=100),Wed Sep 13 15:04:15 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:04:15 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:04:17 2023,
dispense(pressure=100),Wed Sep 13 15:04:22 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:04:23 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:04:24 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:06:58 2023,
close_valve(channel=0),Wed Sep 13 15:07:00 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:07:01 2023,
dispense(pressure=100),Wed Sep 13 15:07:10 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:07:10 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:07:13 2023,
dispense(pressure=100),Wed Sep 13 15:07:18 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:07:18 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:07:21 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:07:32 2023,
close_valve(channel=0),Wed Sep 13 15:07:34 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:07:35 2023,
dispense(pressure=100),Wed Sep 13 15:07:47 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:07:47 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:07:49 2023,
dispense(pressure=100),Wed Sep 13 15:07:53 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:07:54 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:07:56 2023,
dispense(pressure=100),Wed Sep 13 15:08:00 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:08:00 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:08:02 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:08:05 2023,
close_valve(channel=0),Wed Sep 13 15:08:07 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:08:08 2023,
dispense(pressure=200),Wed Sep 13 15:08:14 2023,
set_pressure(pressure=200; direction=1),Wed Sep 13 15:08:14 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:08:16 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:08:23 2023,
close_valve(channel=0),Wed Sep 13 15:08:25 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:08:26 2023,
dispense(pressure=200),Wed Sep 13 15:08:32 2023,
set_pressure(pressure=200; direction=1),Wed Sep 13 15:08:32 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:08:34 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:08:41 2023,
close_valve(channel=0),Wed Sep 13 15:08:43 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:08:44 2023,
dispense(pressure=200),Wed Sep 13 15:08:50 2023,
set_pressure(pressure=200; direction=1),Wed Sep 13 15:08:50 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:08:52 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:08:59 2023,
close_valve(channel=0),Wed Sep 13 15:09:01 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:09:02 2023,
dispense(pressure=200),Wed Sep 13 15:09:08 2023,
set_pressure(pressure=200; direction=1),Wed Sep 13 15:09:08 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:09:10 2023,
dispense(pressure=100),Wed Sep 13 15:09:20 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:09:20 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:09:23 2023,
dispense(pressure=100),Wed Sep 13 15:09:27 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:09:27 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:09:29 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:15:56 2023,
close_valve(channel=0),Wed Sep 13 15:15:58 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:15:59 2023,
dispense(pressure=100),Wed Sep 13 15:16:09 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:16:09 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:16:12 2023,
dispense(pressure=100),Wed Sep 13 15:16:17 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:16:17 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:16:19 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:16:30 2023,
close_valve(channel=0),Wed Sep 13 15:16:32 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:16:33 2023,
dispense(pressure=100),Wed Sep 13 15:16:44 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:16:44 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:16:46 2023,
dispense(pressure=100),Wed Sep 13 15:16:51 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:16:51 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:16:53 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:17:25 2023,
close_valve(channel=0),Wed Sep 13 15:17:26 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:17:27 2023,
dispense(pressure=100),Wed Sep 13 15:17:36 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:17:36 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:17:39 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:18:01 2023,
close_valve(channel=0),Wed Sep 13 15:18:03 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:18:04 2023,
dispense(pressure=100),Wed Sep 13 15:18:13 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:18:13 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:18:16 2023,
dispense(pressure=100),Wed Sep 13 15:18:20 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:18:20 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:18:23 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:18:32 2023,
close_valve(channel=0),Wed Sep 13 15:18:34 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:18:35 2023,
dispense(pressure=100),Wed Sep 13 15:18:44 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:18:44 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:18:46 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:19:09 2023,
close_valve(channel=0),Wed Sep 13 15:19:11 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:19:12 2023,
dispense(pressure=100),Wed Sep 13 15:19:21 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:19:21 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:19:24 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:19:57 2023,
close_valve(channel=7),Wed Sep 13 15:19:58 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:19:59 2023,
close_valve(channel=0),Wed Sep 13 15:19:59 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:20:01 2023,
dispense(pressure=100),Wed Sep 13 15:20:11 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:20:11 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:20:23 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:20:34 2023,
close_valve(channel=7),Wed Sep 13 15:20:35 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:20:36 2023,
close_valve(channel=0),Wed Sep 13 15:20:36 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:20:37 2023,
dispense(pressure=100),Wed Sep 13 15:20:48 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:20:48 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:21:00 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:24:33 2023,
close_valve(channel=0),Wed Sep 13 15:24:34 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:24:35 2023,
dispense(pressure=100),Wed Sep 13 15:24:45 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:24:45 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:24:47 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:24:49 2023,
close_valve(channel=0),Wed Sep 13 15:24:51 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:24:52 2023,
dispense(pressure=100),Wed Sep 13 15:24:53 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:24:53 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:24:55 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:24:57 2023,
close_valve(channel=0),Wed Sep 13 15:24:58 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:24:59 2023,
dispense(pressure=100),Wed Sep 13 15:25:00 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:25:00 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:25:02 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 15:25:04 2023,
close_valve(channel=0),Wed Sep 13 15:25:06 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:25:07 2023,
dispense(pressure=100),Wed Sep 13 15:25:08 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:25:08 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:25:10 2023,
set_pressure(pressure=-8; direction=None),Wed Sep 13 15:25:12 2023,
close_valve(channel=0),Wed Sep 13 15:25:13 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 15:25:14 2023,
dispense(pressure=20),Wed Sep 13 15:25:16 2023,
set_pressure(pressure=20; direction=1),Wed Sep 13 15:25:16 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:25:18 2023,
dispense(pressure=20),Wed Sep 13 15:25:23 2023,
set_pressure(pressure=20; direction=1),Wed Sep 13 15:25:23 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:25:25 2023,
dispense(pressure=100),Wed Sep 13 15:26:31 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 15:26:31 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 15:26:33 2023,
