Seyonic Pipettor Initializing...,Fri Aug 25 13:56:06 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:23:02 2023,
close_valve(channel=0),Fri Aug 25 14:23:06 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:23:07 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:23:12 2023,
close_valve(channel=0),Fri Aug 25 14:23:13 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:23:14 2023,
dispense(pressure=100),Fri Aug 25 14:24:07 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:24:07 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:24:09 2023,
dispense(pressure=100),Fri Aug 25 14:24:16 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:24:16 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:24:19 2023,
dispense(pressure=100),Fri Aug 25 14:24:26 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:24:26 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:24:28 2023,
dispense(pressure=100),Fri Aug 25 14:24:35 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:24:35 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:24:38 2023,
dispense(pressure=100),Fri Aug 25 14:24:45 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:24:45 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:24:47 2023,
dispense(pressure=100),Fri Aug 25 14:24:58 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:24:58 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:25:00 2023,
dispense(pressure=100),Fri Aug 25 14:25:05 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:25:05 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:25:07 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:25:16 2023,
close_valve(channel=0),Fri Aug 25 14:25:20 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:25:21 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:25:26 2023,
close_valve(channel=0),Fri Aug 25 14:25:27 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:25:28 2023,
dispense(pressure=100),Fri Aug 25 14:26:21 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:26:21 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:26:24 2023,
dispense(pressure=100),Fri Aug 25 14:26:31 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:26:31 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:26:33 2023,
dispense(pressure=100),Fri Aug 25 14:26:40 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:26:40 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:26:43 2023,
dispense(pressure=100),Fri Aug 25 14:26:50 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:26:50 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:26:52 2023,
dispense(pressure=100),Fri Aug 25 14:26:59 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:26:59 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:27:02 2023,
dispense(pressure=100),Fri Aug 25 14:27:13 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:27:13 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:27:15 2023,
dispense(pressure=100),Fri Aug 25 14:27:20 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:27:20 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:27:22 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:27:30 2023,
close_valve(channel=0),Fri Aug 25 14:27:34 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:27:35 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:27:40 2023,
close_valve(channel=0),Fri Aug 25 14:27:41 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:27:42 2023,
dispense(pressure=100),Fri Aug 25 14:28:35 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:28:35 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:28:38 2023,
dispense(pressure=100),Fri Aug 25 14:28:45 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:28:45 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:28:47 2023,
dispense(pressure=100),Fri Aug 25 14:28:54 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:28:54 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:28:57 2023,
dispense(pressure=100),Fri Aug 25 14:29:04 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:29:04 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:29:06 2023,
dispense(pressure=100),Fri Aug 25 14:29:13 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:29:13 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:29:16 2023,
dispense(pressure=100),Fri Aug 25 14:29:27 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:29:27 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:29:29 2023,
dispense(pressure=100),Fri Aug 25 14:29:34 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:29:34 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:29:36 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:29:44 2023,
close_valve(channel=0),Fri Aug 25 14:29:48 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:29:50 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:29:54 2023,
close_valve(channel=0),Fri Aug 25 14:29:56 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:29:57 2023,
dispense(pressure=100),Fri Aug 25 14:30:50 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:30:50 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:30:52 2023,
dispense(pressure=100),Fri Aug 25 14:30:59 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:30:59 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:31:02 2023,
dispense(pressure=100),Fri Aug 25 14:31:09 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:31:09 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:31:11 2023,
dispense(pressure=100),Fri Aug 25 14:31:18 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:31:18 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:31:20 2023,
dispense(pressure=100),Fri Aug 25 14:31:27 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:31:27 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:31:30 2023,
dispense(pressure=100),Fri Aug 25 14:31:41 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:31:41 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:31:43 2023,
dispense(pressure=100),Fri Aug 25 14:31:48 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:31:48 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:31:50 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:31:59 2023,
close_valve(channel=0),Fri Aug 25 14:32:03 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:32:04 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:32:09 2023,
close_valve(channel=0),Fri Aug 25 14:32:10 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:32:11 2023,
dispense(pressure=100),Fri Aug 25 14:33:04 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:33:04 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:33:06 2023,
dispense(pressure=100),Fri Aug 25 14:33:13 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:33:13 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:33:16 2023,
dispense(pressure=100),Fri Aug 25 14:33:23 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:33:23 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:33:25 2023,
dispense(pressure=100),Fri Aug 25 14:33:32 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:33:32 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:33:35 2023,
dispense(pressure=100),Fri Aug 25 14:33:42 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:33:42 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:33:44 2023,
dispense(pressure=100),Fri Aug 25 14:33:55 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:33:55 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:33:57 2023,
dispense(pressure=100),Fri Aug 25 14:34:02 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:34:02 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:34:04 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:34:13 2023,
close_valve(channel=0),Fri Aug 25 14:34:17 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:34:18 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:34:23 2023,
close_valve(channel=0),Fri Aug 25 14:34:24 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:34:25 2023,
dispense(pressure=100),Fri Aug 25 14:35:18 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:35:18 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:35:20 2023,
dispense(pressure=100),Fri Aug 25 14:35:27 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:35:27 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:35:30 2023,
dispense(pressure=100),Fri Aug 25 14:35:37 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:35:37 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:35:39 2023,
dispense(pressure=100),Fri Aug 25 14:35:46 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:35:46 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:35:49 2023,
dispense(pressure=100),Fri Aug 25 14:35:56 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:35:56 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:35:58 2023,
dispense(pressure=100),Fri Aug 25 14:36:09 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:36:09 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:36:11 2023,
dispense(pressure=100),Fri Aug 25 14:36:16 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:36:16 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:36:18 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:36:27 2023,
close_valve(channel=0),Fri Aug 25 14:36:31 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:36:32 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:36:37 2023,
close_valve(channel=0),Fri Aug 25 14:36:38 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:36:39 2023,
dispense(pressure=100),Fri Aug 25 14:37:32 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:37:32 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:37:34 2023,
dispense(pressure=100),Fri Aug 25 14:37:41 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:37:41 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:37:44 2023,
dispense(pressure=100),Fri Aug 25 14:37:51 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:37:51 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:37:53 2023,
dispense(pressure=100),Fri Aug 25 14:38:00 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:38:00 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:38:03 2023,
dispense(pressure=100),Fri Aug 25 14:38:10 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:38:10 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:38:12 2023,
dispense(pressure=100),Fri Aug 25 14:38:23 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:38:23 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:38:25 2023,
dispense(pressure=100),Fri Aug 25 14:38:30 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:38:30 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:38:32 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:38:41 2023,
close_valve(channel=0),Fri Aug 25 14:38:45 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:38:46 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:38:51 2023,
close_valve(channel=0),Fri Aug 25 14:38:53 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:38:54 2023,
dispense(pressure=100),Fri Aug 25 14:39:47 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:39:47 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:39:49 2023,
dispense(pressure=100),Fri Aug 25 14:39:56 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:39:56 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:39:58 2023,
dispense(pressure=100),Fri Aug 25 14:40:05 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:40:06 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:40:08 2023,
dispense(pressure=100),Fri Aug 25 14:40:15 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:40:15 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:40:17 2023,
dispense(pressure=100),Fri Aug 25 14:40:24 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:40:24 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:40:27 2023,
dispense(pressure=100),Fri Aug 25 14:40:38 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:40:38 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:40:40 2023,
dispense(pressure=100),Fri Aug 25 14:40:45 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:40:45 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:40:47 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:40:49 2023,
close_valve(channel=0),Fri Aug 25 14:40:52 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:40:53 2023,
dispense(pressure=100),Fri Aug 25 14:41:01 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:41:01 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:41:05 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:41:08 2023,
close_valve(channel=0),Fri Aug 25 14:41:11 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:41:12 2023,
dispense(pressure=100),Fri Aug 25 14:41:14 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:41:14 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:41:18 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:41:20 2023,
close_valve(channel=0),Fri Aug 25 14:41:23 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:41:24 2023,
dispense(pressure=100),Fri Aug 25 14:41:26 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:41:26 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:41:30 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:41:33 2023,
close_valve(channel=0),Fri Aug 25 14:41:36 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:41:37 2023,
dispense(pressure=100),Fri Aug 25 14:41:39 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:41:39 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:41:43 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:41:46 2023,
close_valve(channel=0),Fri Aug 25 14:41:50 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:41:51 2023,
dispense(pressure=100),Fri Aug 25 14:41:58 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:41:58 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:42:03 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:44:27 2023,
close_valve(channel=0),Fri Aug 25 14:44:31 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:44:32 2023,
dispense(pressure=100),Fri Aug 25 14:44:41 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:44:41 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:44:45 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:45:17 2023,
close_valve(channel=0),Fri Aug 25 14:45:19 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:45:20 2023,
dispense(pressure=100),Fri Aug 25 14:45:29 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:45:29 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:45:32 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:45:44 2023,
close_valve(channel=0),Fri Aug 25 14:45:46 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:45:47 2023,
dispense(pressure=100),Fri Aug 25 14:45:48 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:45:48 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:45:51 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:45:53 2023,
close_valve(channel=0),Fri Aug 25 14:45:55 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:45:56 2023,
dispense(pressure=100),Fri Aug 25 14:45:57 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:45:57 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:45:59 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:46:01 2023,
close_valve(channel=0),Fri Aug 25 14:46:03 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:46:04 2023,
dispense(pressure=100),Fri Aug 25 14:46:05 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:46:05 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:46:08 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:46:30 2023,
close_valve(channel=0),Fri Aug 25 14:46:32 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:46:33 2023,
dispense(pressure=100),Fri Aug 25 14:46:34 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:46:34 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:46:36 2023,
dispense(pressure=100),Fri Aug 25 14:46:59 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:46:59 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:47:01 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:49:07 2023,
close_valve(channel=0),Fri Aug 25 14:49:10 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:49:11 2023,
dispense(pressure=100),Fri Aug 25 14:49:20 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:49:20 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:49:23 2023,
dispense(pressure=100),Fri Aug 25 14:49:30 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:49:30 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:49:32 2023,
dispense(pressure=100),Fri Aug 25 14:49:39 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 14:49:39 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 14:49:41 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 14:49:51 2023,
close_valve(channel=0),Fri Aug 25 14:49:54 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 14:49:55 2023,
dispense(pressure=100),Fri Aug 25 14:50:04 2023,
