Seyonic Pipettor Initializing...,Wed Jul 12 13:22:24 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:33:16 2023,
close_valve(channel=0),Wed Jul 12 13:33:18 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:33:19 2023,
dispense(pressure=100),Wed Jul 12 13:33:22 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:33:22 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:33:24 2023,
dispense(pressure=100),Wed Jul 12 13:33:29 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:33:29 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:33:31 2023,
dispense(pressure=100),Wed Jul 12 13:33:35 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:33:35 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:33:37 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:33:40 2023,
close_valve(channel=0),Wed Jul 12 13:33:42 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:33:43 2023,
dispense(pressure=100),Wed Jul 12 13:33:54 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:33:54 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:33:56 2023,
dispense(pressure=100),Wed Jul 12 13:34:00 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:34:00 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:34:02 2023,
dispense(pressure=100),Wed Jul 12 13:34:06 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:34:06 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:34:09 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:34:40 2023,
close_valve(channel=0),Wed Jul 12 13:34:42 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:34:43 2023,
dispense(pressure=100),Wed Jul 12 13:34:52 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:34:52 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:34:55 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:34:57 2023,
close_valve(channel=0),Wed Jul 12 13:34:59 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:35:00 2023,
dispense(pressure=100),Wed Jul 12 13:35:03 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:35:03 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:35:05 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:35:09 2023,
close_valve(channel=0),Wed Jul 12 13:35:11 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:35:12 2023,
dispense(pressure=100),Wed Jul 12 13:35:15 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:35:15 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:35:18 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:35:22 2023,
close_valve(channel=0),Wed Jul 12 13:35:24 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:35:25 2023,
dispense(pressure=100),Wed Jul 12 13:35:28 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:35:28 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:35:30 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:35:35 2023,
