Seyonic Pipettor Initializing...,Tue Nov 14 09:55:24 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:01:46 2023,
dispense(pressure=100),Tue Nov 14 10:01:53 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:01:53 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:01:55 2023,
dispense(pressure=100),Tue Nov 14 10:02:06 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:02:06 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:02:08 2023,
dispense(pressure=100),Tue Nov 14 10:02:13 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:02:13 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:02:15 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:02:24 2023,
close_valve(channel=0),Tue Nov 14 10:02:28 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:02:29 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:02:34 2023,
close_valve(channel=0),Tue Nov 14 10:02:35 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:02:36 2023,
dispense(pressure=100),Tue Nov 14 10:03:29 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:03:29 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:03:31 2023,
dispense(pressure=100),Tue Nov 14 10:03:38 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:03:38 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:03:41 2023,
dispense(pressure=100),Tue Nov 14 10:03:48 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:03:48 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:03:50 2023,
dispense(pressure=100),Tue Nov 14 10:03:57 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:03:57 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:04:00 2023,
dispense(pressure=100),Tue Nov 14 10:04:07 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:04:07 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:04:09 2023,
dispense(pressure=100),Tue Nov 14 10:04:20 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:04:20 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:04:22 2023,
dispense(pressure=100),Tue Nov 14 10:04:27 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:04:27 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:04:29 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:04:38 2023,
close_valve(channel=0),Tue Nov 14 10:04:42 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:04:43 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:04:48 2023,
close_valve(channel=0),Tue Nov 14 10:04:49 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:04:50 2023,
dispense(pressure=100),Tue Nov 14 10:05:43 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:05:43 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:05:45 2023,
dispense(pressure=100),Tue Nov 14 10:05:52 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:05:52 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:05:55 2023,
dispense(pressure=100),Tue Nov 14 10:06:02 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:06:02 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:06:04 2023,
dispense(pressure=100),Tue Nov 14 10:06:11 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:06:11 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:06:13 2023,
dispense(pressure=100),Tue Nov 14 10:06:20 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:06:20 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:06:23 2023,
dispense(pressure=100),Tue Nov 14 10:06:34 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:06:34 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:06:36 2023,
dispense(pressure=100),Tue Nov 14 10:06:41 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:06:41 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:06:43 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:06:52 2023,
close_valve(channel=0),Tue Nov 14 10:06:56 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:06:57 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:07:02 2023,
close_valve(channel=0),Tue Nov 14 10:07:03 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:07:04 2023,
dispense(pressure=100),Tue Nov 14 10:07:57 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:07:57 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:07:59 2023,
dispense(pressure=100),Tue Nov 14 10:08:06 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:08:06 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:08:09 2023,
dispense(pressure=100),Tue Nov 14 10:08:16 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:08:16 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:08:18 2023,
dispense(pressure=100),Tue Nov 14 10:08:25 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:08:25 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:08:27 2023,
dispense(pressure=100),Tue Nov 14 10:08:34 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:08:34 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:08:37 2023,
dispense(pressure=100),Tue Nov 14 10:08:48 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:08:48 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:08:50 2023,
dispense(pressure=100),Tue Nov 14 10:08:55 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:08:55 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:08:57 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:09:05 2023,
close_valve(channel=0),Tue Nov 14 10:09:10 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:09:11 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:09:16 2023,
close_valve(channel=0),Tue Nov 14 10:09:17 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:09:18 2023,
dispense(pressure=100),Tue Nov 14 10:10:11 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:10:11 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:10:13 2023,
dispense(pressure=100),Tue Nov 14 10:10:20 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:10:20 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:10:23 2023,
dispense(pressure=100),Tue Nov 14 10:10:30 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:10:30 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:10:32 2023,
dispense(pressure=100),Tue Nov 14 10:10:39 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:10:39 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:10:41 2023,
dispense(pressure=100),Tue Nov 14 10:10:48 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:10:48 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:10:51 2023,
dispense(pressure=100),Tue Nov 14 10:11:02 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:11:02 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:11:04 2023,
dispense(pressure=100),Tue Nov 14 10:11:09 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:11:09 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:11:11 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:11:19 2023,
close_valve(channel=0),Tue Nov 14 10:11:24 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:11:25 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:11:30 2023,
close_valve(channel=0),Tue Nov 14 10:11:31 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:11:32 2023,
dispense(pressure=100),Tue Nov 14 10:12:25 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:12:25 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:12:27 2023,
dispense(pressure=100),Tue Nov 14 10:12:34 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:12:34 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:12:36 2023,
dispense(pressure=100),Tue Nov 14 10:12:43 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:12:43 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:12:46 2023,
dispense(pressure=100),Tue Nov 14 10:12:53 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:12:53 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:12:55 2023,
dispense(pressure=100),Tue Nov 14 10:13:02 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:13:02 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:13:05 2023,
dispense(pressure=100),Tue Nov 14 10:13:15 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:13:15 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:13:18 2023,
dispense(pressure=100),Tue Nov 14 10:13:23 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:13:23 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:13:25 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:13:33 2023,
close_valve(channel=0),Tue Nov 14 10:13:38 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:13:39 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:13:43 2023,
close_valve(channel=0),Tue Nov 14 10:13:45 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:13:46 2023,
dispense(pressure=100),Tue Nov 14 10:14:39 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:14:39 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:14:41 2023,
dispense(pressure=100),Tue Nov 14 10:14:48 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:14:48 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:14:51 2023,
dispense(pressure=100),Tue Nov 14 10:14:58 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:14:58 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:15:00 2023,
dispense(pressure=100),Tue Nov 14 10:15:07 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:15:07 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:15:09 2023,
dispense(pressure=100),Tue Nov 14 10:15:16 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:15:16 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:15:19 2023,
dispense(pressure=100),Tue Nov 14 10:15:30 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:15:30 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:15:32 2023,
dispense(pressure=100),Tue Nov 14 10:15:37 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:15:37 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:15:39 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:15:41 2023,
close_valve(channel=0),Tue Nov 14 10:15:44 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:15:45 2023,
dispense(pressure=100),Tue Nov 14 10:15:53 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:15:53 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:15:57 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:16:00 2023,
close_valve(channel=0),Tue Nov 14 10:16:03 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:16:04 2023,
dispense(pressure=100),Tue Nov 14 10:16:06 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:16:06 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:16:10 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:16:12 2023,
close_valve(channel=0),Tue Nov 14 10:16:15 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:16:16 2023,
dispense(pressure=100),Tue Nov 14 10:16:18 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:16:18 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:16:21 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:16:24 2023,
close_valve(channel=0),Tue Nov 14 10:16:27 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:16:28 2023,
dispense(pressure=100),Tue Nov 14 10:16:30 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:16:30 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:16:34 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:16:37 2023,
close_valve(channel=0),Tue Nov 14 10:16:41 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:16:42 2023,
dispense(pressure=100),Tue Nov 14 10:16:49 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:16:49 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:16:54 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:19:18 2023,
close_valve(channel=0),Tue Nov 14 10:19:22 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:19:23 2023,
dispense(pressure=100),Tue Nov 14 10:19:32 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:19:32 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:19:37 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:20:09 2023,
close_valve(channel=0),Tue Nov 14 10:20:11 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:20:12 2023,
dispense(pressure=100),Tue Nov 14 10:20:21 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:20:21 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:20:24 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:20:36 2023,
close_valve(channel=0),Tue Nov 14 10:20:37 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:20:39 2023,
dispense(pressure=100),Tue Nov 14 10:20:40 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:20:40 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:20:42 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:20:44 2023,
close_valve(channel=0),Tue Nov 14 10:20:46 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:20:47 2023,
dispense(pressure=100),Tue Nov 14 10:20:48 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:20:48 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:20:51 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:20:53 2023,
close_valve(channel=0),Tue Nov 14 10:20:54 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:20:55 2023,
dispense(pressure=100),Tue Nov 14 10:20:57 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:20:57 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:20:59 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:21:22 2023,
close_valve(channel=0),Tue Nov 14 10:21:23 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:21:24 2023,
dispense(pressure=100),Tue Nov 14 10:21:25 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:21:25 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:21:27 2023,
dispense(pressure=100),Tue Nov 14 10:21:50 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:21:50 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:21:53 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:23:59 2023,
close_valve(channel=0),Tue Nov 14 10:24:01 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:24:02 2023,
dispense(pressure=100),Tue Nov 14 10:24:11 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:24:11 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:24:14 2023,
dispense(pressure=100),Tue Nov 14 10:24:21 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:24:21 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:24:23 2023,
dispense(pressure=100),Tue Nov 14 10:24:30 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:24:30 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:24:32 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:24:42 2023,
close_valve(channel=0),Tue Nov 14 10:24:45 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:24:46 2023,
dispense(pressure=100),Tue Nov 14 10:24:54 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:24:54 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:24:58 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:25:00 2023,
close_valve(channel=0),Tue Nov 14 10:25:03 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:25:04 2023,
dispense(pressure=100),Tue Nov 14 10:25:05 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:25:05 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:25:08 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:25:20 2023,
close_valve(channel=0),Tue Nov 14 10:25:23 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:25:24 2023,
dispense(pressure=100),Tue Nov 14 10:25:34 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:25:34 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:25:37 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:26:09 2023,
close_valve(channel=0),Tue Nov 14 10:26:12 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:26:13 2023,
dispense(pressure=100),Tue Nov 14 10:26:22 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:26:22 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:26:25 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:26:29 2023,
close_valve(channel=0),Tue Nov 14 10:26:31 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:26:32 2023,
dispense(pressure=100),Tue Nov 14 10:26:34 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:26:34 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:26:38 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:26:41 2023,
close_valve(channel=0),Tue Nov 14 10:26:43 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:26:44 2023,
dispense(pressure=100),Tue Nov 14 10:26:46 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:26:46 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:26:50 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:28:23 2023,
close_valve(channel=0),Tue Nov 14 10:28:26 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:28:27 2023,
dispense(pressure=100),Tue Nov 14 10:28:28 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:28:28 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:28:31 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:28:43 2023,
close_valve(channel=0),Tue Nov 14 10:28:46 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:28:47 2023,
dispense(pressure=100),Tue Nov 14 10:28:57 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:28:57 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:29:01 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:29:34 2023,
close_valve(channel=0),Tue Nov 14 10:29:35 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:29:36 2023,
dispense(pressure=100),Tue Nov 14 10:29:46 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:29:47 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:29:48 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:30:00 2023,
close_valve(channel=0),Tue Nov 14 10:30:01 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:30:02 2023,
dispense(pressure=100),Tue Nov 14 10:30:13 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:30:13 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:30:14 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:35:57 2023,
close_valve(channel=0),Tue Nov 14 10:35:58 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:35:59 2023,
dispense(pressure=100),Tue Nov 14 10:36:09 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:36:09 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:36:11 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:36:14 2023,
close_valve(channel=0),Tue Nov 14 10:36:15 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:36:16 2023,
dispense(pressure=100),Tue Nov 14 10:36:17 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:36:17 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:36:19 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:36:21 2023,
close_valve(channel=0),Tue Nov 14 10:36:22 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:36:23 2023,
dispense(pressure=100),Tue Nov 14 10:36:24 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:36:24 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:36:26 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:36:28 2023,
close_valve(channel=0),Tue Nov 14 10:36:30 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:36:31 2023,
dispense(pressure=100),Tue Nov 14 10:36:32 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 10:36:32 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 10:36:34 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 10:36:36 2023,
close_valve(channel=0),Tue Nov 14 10:36:37 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 10:36:38 2023,
dispense(pressure=100),Tue Nov 14 10:36:39 2023,
