Seyonic Pipettor Initializing...,Thu Jun 29 13:08:56 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:21:48 2023,
dispense(pressure=100),Thu Jun 29 13:21:57 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:21:57 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:21:59 2023,
dispense(pressure=100),Thu Jun 29 13:22:06 2023,
set_pressure(pressure=100; direction=1),Thu Jun 29 13:22:06 2023,
set_pressure(pressure=0; direction=1),Thu Jun 29 13:22:08 2023,
set_pressure(pressure=-100; direction=None),Thu Jun 29 13:27:52 2023,
close_valve(channel=0),Thu Jun 29 13:27:54 2023,
set_pressure(pressure=0; direction=2),Thu Jun 29 13:27:55 2023,
