Seyonic Pipettor Initializing...,Thu Jul  6 10:59:15 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:01:14 2023,
dispense(pressure=100),Thu Jul  6 11:01:16 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:01:16 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:01:20 2023,
dispense(pressure=100),Thu Jul  6 11:01:27 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:01:27 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:01:29 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:01:32 2023,
close_valve(channel=0),Thu Jul  6 11:01:36 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:01:37 2023,
dispense(pressure=100),Thu Jul  6 11:01:45 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:01:45 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:01:49 2023,
dispense(pressure=100),Thu Jul  6 11:01:56 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:01:56 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:01:59 2023,
dispense(pressure=100),Thu Jul  6 11:02:06 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:02:06 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:02:08 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:02:17 2023,
close_valve(channel=0),Thu Jul  6 11:02:20 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:02:21 2023,
dispense(pressure=100),Thu Jul  6 11:02:23 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:02:23 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:02:27 2023,
dispense(pressure=100),Thu Jul  6 11:02:34 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:02:34 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:02:36 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:02:39 2023,
close_valve(channel=0),Thu Jul  6 11:02:44 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:02:45 2023,
dispense(pressure=100),Thu Jul  6 11:02:52 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:02:52 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:02:57 2023,
dispense(pressure=100),Thu Jul  6 11:03:04 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:03:04 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:03:06 2023,
dispense(pressure=100),Thu Jul  6 11:03:13 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:03:13 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:03:16 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:03:24 2023,
close_valve(channel=0),Thu Jul  6 11:03:28 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:03:29 2023,
dispense(pressure=100),Thu Jul  6 11:03:31 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:03:31 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:03:34 2023,
dispense(pressure=100),Thu Jul  6 11:03:41 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:03:41 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:03:44 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:03:47 2023,
close_valve(channel=0),Thu Jul  6 11:03:51 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:03:52 2023,
dispense(pressure=100),Thu Jul  6 11:04:00 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:04:00 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:04:04 2023,
dispense(pressure=100),Thu Jul  6 11:04:11 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:04:11 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:04:14 2023,
dispense(pressure=100),Thu Jul  6 11:04:21 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 11:04:21 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:04:23 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:24:55 2023,
close_valve(channel=0),Thu Jul  6 11:24:59 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:25:00 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:25:05 2023,
close_valve(channel=0),Thu Jul  6 11:25:07 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:25:08 2023,
dispense(pressure=200),Thu Jul  6 11:26:09 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:26:09 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:26:12 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:26:23 2023,
close_valve(channel=0),Thu Jul  6 11:26:27 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:26:28 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:26:33 2023,
close_valve(channel=0),Thu Jul  6 11:26:34 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:26:35 2023,
dispense(pressure=200),Thu Jul  6 11:27:36 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:27:36 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:27:40 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:27:50 2023,
close_valve(channel=0),Thu Jul  6 11:27:55 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:27:56 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 11:28:01 2023,
close_valve(channel=0),Thu Jul  6 11:28:02 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 11:28:03 2023,
dispense(pressure=200),Thu Jul  6 11:29:04 2023,
set_pressure(pressure=200; direction=1),Thu Jul  6 11:29:04 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 11:29:07 2023,
