Seyonic Pipettor Initializing...,Tue Jun  6 09:42:06 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:45:29 2023,
dispense(pressure=100),Tue Jun  6 09:45:36 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:45:36 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:45:39 2023,
dispense(pressure=100),Tue Jun  6 09:45:46 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:45:46 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:45:48 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 09:46:03 2023,
close_valve(channel=0),Tue Jun  6 09:46:07 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 09:46:08 2023,
dispense(pressure=100),Tue Jun  6 09:46:13 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:46:13 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:46:17 2023,
dispense(pressure=100),Tue Jun  6 09:46:24 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:46:24 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:46:26 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 09:46:31 2023,
close_valve(channel=0),Tue Jun  6 09:46:36 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 09:46:37 2023,
dispense(pressure=100),Tue Jun  6 09:46:52 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:46:52 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:46:57 2023,
dispense(pressure=100),Tue Jun  6 09:47:04 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:47:04 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:47:07 2023,
dispense(pressure=100),Tue Jun  6 09:47:14 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:47:14 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:47:16 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 09:47:31 2023,
close_valve(channel=0),Tue Jun  6 09:47:35 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 09:47:36 2023,
dispense(pressure=100),Tue Jun  6 09:47:41 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:47:41 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:47:45 2023,
dispense(pressure=100),Tue Jun  6 09:47:52 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:47:52 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:47:54 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 09:48:00 2023,
close_valve(channel=0),Tue Jun  6 09:48:04 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 09:48:05 2023,
dispense(pressure=100),Tue Jun  6 09:48:20 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:48:20 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:48:25 2023,
dispense(pressure=100),Tue Jun  6 09:48:32 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:48:32 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:48:35 2023,
dispense(pressure=100),Tue Jun  6 09:48:42 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 09:48:42 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 09:48:44 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:09:33 2023,
close_valve(channel=0),Tue Jun  6 10:09:37 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:09:38 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:09:46 2023,
close_valve(channel=0),Tue Jun  6 10:09:47 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:09:48 2023,
dispense(pressure=100),Tue Jun  6 10:10:45 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:10:45 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:10:47 2023,
dispense(pressure=100),Tue Jun  6 10:10:55 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:10:55 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:10:57 2023,
dispense(pressure=100),Tue Jun  6 10:11:04 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:11:04 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:11:07 2023,
dispense(pressure=100),Tue Jun  6 10:11:14 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:11:14 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:11:16 2023,
dispense(pressure=100),Tue Jun  6 10:11:23 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:11:23 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:11:26 2023,
dispense(pressure=100),Tue Jun  6 10:11:43 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:11:43 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:11:45 2023,
dispense(pressure=100),Tue Jun  6 10:11:50 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:11:50 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:11:52 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:12:05 2023,
close_valve(channel=0),Tue Jun  6 10:12:10 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:12:11 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:12:19 2023,
close_valve(channel=0),Tue Jun  6 10:12:20 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:12:21 2023,
dispense(pressure=100),Tue Jun  6 10:13:18 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:13:18 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:13:20 2023,
dispense(pressure=100),Tue Jun  6 10:13:27 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:13:27 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:13:30 2023,
dispense(pressure=100),Tue Jun  6 10:13:37 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:13:37 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:13:39 2023,
dispense(pressure=100),Tue Jun  6 10:13:46 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:13:46 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:13:48 2023,
dispense(pressure=100),Tue Jun  6 10:13:56 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:13:56 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:13:58 2023,
dispense(pressure=100),Tue Jun  6 10:14:15 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:14:15 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:14:17 2023,
dispense(pressure=100),Tue Jun  6 10:14:22 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:14:22 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:14:24 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:14:38 2023,
close_valve(channel=0),Tue Jun  6 10:14:42 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:14:43 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:14:51 2023,
close_valve(channel=0),Tue Jun  6 10:14:52 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:14:53 2023,
dispense(pressure=100),Tue Jun  6 10:15:51 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:15:51 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:15:53 2023,
dispense(pressure=100),Tue Jun  6 10:16:00 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:16:00 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:16:02 2023,
dispense(pressure=100),Tue Jun  6 10:16:09 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:16:09 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:16:12 2023,
dispense(pressure=100),Tue Jun  6 10:16:19 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:16:19 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:16:21 2023,
dispense(pressure=100),Tue Jun  6 10:16:29 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:16:29 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:16:31 2023,
dispense(pressure=100),Tue Jun  6 10:16:48 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:16:48 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:16:50 2023,
dispense(pressure=100),Tue Jun  6 10:16:55 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:16:55 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:16:57 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:17:11 2023,
close_valve(channel=0),Tue Jun  6 10:17:15 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:17:16 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:17:24 2023,
close_valve(channel=0),Tue Jun  6 10:17:25 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:17:26 2023,
dispense(pressure=100),Tue Jun  6 10:18:23 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:18:23 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:18:26 2023,
dispense(pressure=100),Tue Jun  6 10:18:33 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:18:33 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:18:35 2023,
dispense(pressure=100),Tue Jun  6 10:18:42 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:18:42 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:18:44 2023,
dispense(pressure=100),Tue Jun  6 10:18:52 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:18:52 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:18:54 2023,
dispense(pressure=100),Tue Jun  6 10:19:01 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:19:01 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:19:04 2023,
dispense(pressure=100),Tue Jun  6 10:19:21 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:19:21 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:19:23 2023,
dispense(pressure=100),Tue Jun  6 10:19:28 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:19:28 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:19:30 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:19:43 2023,
close_valve(channel=0),Tue Jun  6 10:19:48 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:19:49 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:19:57 2023,
close_valve(channel=0),Tue Jun  6 10:19:58 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:19:59 2023,
dispense(pressure=100),Tue Jun  6 10:20:56 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:20:56 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:20:58 2023,
dispense(pressure=100),Tue Jun  6 10:21:05 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:21:06 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:21:08 2023,
dispense(pressure=100),Tue Jun  6 10:21:15 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:21:15 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:21:17 2023,
dispense(pressure=100),Tue Jun  6 10:21:24 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:21:24 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:21:27 2023,
dispense(pressure=100),Tue Jun  6 10:21:34 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:21:34 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:21:37 2023,
dispense(pressure=100),Tue Jun  6 10:21:54 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:21:54 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:21:56 2023,
dispense(pressure=100),Tue Jun  6 10:22:01 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:22:01 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:22:03 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:22:16 2023,
close_valve(channel=0),Tue Jun  6 10:22:21 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:22:22 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:22:30 2023,
close_valve(channel=0),Tue Jun  6 10:22:31 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:22:32 2023,
dispense(pressure=100),Tue Jun  6 10:23:29 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:23:29 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:23:31 2023,
dispense(pressure=100),Tue Jun  6 10:23:38 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:23:38 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:23:41 2023,
dispense(pressure=100),Tue Jun  6 10:23:48 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:23:48 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:23:50 2023,
dispense(pressure=100),Tue Jun  6 10:23:57 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:23:57 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:24:00 2023,
dispense(pressure=100),Tue Jun  6 10:24:07 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:24:07 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:24:09 2023,
dispense(pressure=100),Tue Jun  6 10:24:26 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:24:26 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:24:28 2023,
dispense(pressure=100),Tue Jun  6 10:24:33 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:24:33 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:24:35 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:24:49 2023,
close_valve(channel=0),Tue Jun  6 10:24:54 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:24:55 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:25:02 2023,
close_valve(channel=0),Tue Jun  6 10:25:03 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:25:04 2023,
dispense(pressure=100),Tue Jun  6 10:26:02 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:26:02 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:26:04 2023,
dispense(pressure=100),Tue Jun  6 10:26:11 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:26:11 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:26:13 2023,
dispense(pressure=100),Tue Jun  6 10:26:20 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:26:20 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:26:23 2023,
dispense(pressure=100),Tue Jun  6 10:26:30 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:26:30 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:26:32 2023,
dispense(pressure=100),Tue Jun  6 10:26:39 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:26:39 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:26:42 2023,
dispense(pressure=100),Tue Jun  6 10:26:59 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:26:59 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:27:01 2023,
dispense(pressure=100),Tue Jun  6 10:27:06 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:27:06 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:27:08 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:27:22 2023,
close_valve(channel=0),Tue Jun  6 10:27:26 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:27:27 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:27:35 2023,
close_valve(channel=0),Tue Jun  6 10:27:36 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:27:37 2023,
dispense(pressure=100),Tue Jun  6 10:28:35 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:28:35 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:28:37 2023,
dispense(pressure=100),Tue Jun  6 10:28:44 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:28:44 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:28:46 2023,
dispense(pressure=100),Tue Jun  6 10:28:53 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:28:53 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:28:56 2023,
dispense(pressure=100),Tue Jun  6 10:29:03 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:29:03 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:29:05 2023,
dispense(pressure=100),Tue Jun  6 10:29:12 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:29:12 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:29:15 2023,
dispense(pressure=100),Tue Jun  6 10:29:32 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:29:32 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:29:34 2023,
dispense(pressure=100),Tue Jun  6 10:29:39 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:29:39 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:29:41 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:29:55 2023,
close_valve(channel=0),Tue Jun  6 10:29:59 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:30:00 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:30:08 2023,
close_valve(channel=0),Tue Jun  6 10:30:09 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:30:10 2023,
dispense(pressure=100),Tue Jun  6 10:31:07 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:31:07 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:31:09 2023,
dispense(pressure=100),Tue Jun  6 10:31:16 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:31:17 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:31:19 2023,
dispense(pressure=100),Tue Jun  6 10:31:26 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:31:26 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:31:28 2023,
dispense(pressure=100),Tue Jun  6 10:31:35 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:31:35 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:31:38 2023,
dispense(pressure=100),Tue Jun  6 10:31:45 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:31:45 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:31:48 2023,
dispense(pressure=100),Tue Jun  6 10:32:04 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:32:04 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:32:06 2023,
dispense(pressure=100),Tue Jun  6 10:32:12 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:32:12 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:32:14 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:32:16 2023,
close_valve(channel=0),Tue Jun  6 10:32:19 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:32:20 2023,
dispense(pressure=100),Tue Jun  6 10:32:34 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:32:34 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:32:38 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:32:41 2023,
close_valve(channel=0),Tue Jun  6 10:32:45 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:32:46 2023,
dispense(pressure=100),Tue Jun  6 10:32:49 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:32:49 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:32:53 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:32:55 2023,
close_valve(channel=0),Tue Jun  6 10:32:58 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:32:59 2023,
dispense(pressure=100),Tue Jun  6 10:33:03 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:33:03 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:33:07 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:33:10 2023,
close_valve(channel=0),Tue Jun  6 10:33:14 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:33:15 2023,
dispense(pressure=100),Tue Jun  6 10:33:18 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:33:18 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:33:22 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:33:26 2023,
close_valve(channel=0),Tue Jun  6 10:33:30 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:33:31 2023,
dispense(pressure=100),Tue Jun  6 10:33:44 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:33:45 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:33:49 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:36:16 2023,
close_valve(channel=0),Tue Jun  6 10:36:20 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:36:21 2023,
dispense(pressure=100),Tue Jun  6 10:36:36 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:36:36 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:36:41 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:37:30 2023,
close_valve(channel=0),Tue Jun  6 10:37:32 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:37:33 2023,
dispense(pressure=100),Tue Jun  6 10:37:48 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:37:48 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:37:51 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:38:03 2023,
close_valve(channel=0),Tue Jun  6 10:38:05 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:38:06 2023,
dispense(pressure=100),Tue Jun  6 10:38:08 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:38:08 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:38:11 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:38:13 2023,
close_valve(channel=0),Tue Jun  6 10:38:15 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:38:16 2023,
dispense(pressure=100),Tue Jun  6 10:38:18 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:38:18 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:38:20 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:38:23 2023,
close_valve(channel=0),Tue Jun  6 10:38:24 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:38:26 2023,
dispense(pressure=100),Tue Jun  6 10:38:28 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:38:28 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:38:30 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:38:53 2023,
close_valve(channel=0),Tue Jun  6 10:38:54 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:38:55 2023,
dispense(pressure=100),Tue Jun  6 10:38:58 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:38:58 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:39:00 2023,
dispense(pressure=100),Tue Jun  6 10:39:24 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:39:24 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:39:26 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 10:41:37 2023,
close_valve(channel=0),Tue Jun  6 10:41:40 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 10:41:41 2023,
dispense(pressure=100),Tue Jun  6 10:41:57 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 10:41:57 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 10:42:00 2023,
dispense(pressure=100),Tue Jun  6 10:42:07 2023,
