Seyonic Pipettor Initializing...,Wed Jul  5 13:34:12 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:00:54 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:00:56 2023,
dispense(pressure=100),Wed Jul  5 14:01:01 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:01:01 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:01:03 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 14:01:15 2023,
close_valve(channel=0),Wed Jul  5 14:01:16 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 14:01:17 2023,
dispense(pressure=100),Wed Jul  5 14:01:28 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:01:28 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:01:30 2023,
dispense(pressure=100),Wed Jul  5 14:01:35 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:01:35 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:01:37 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 14:02:10 2023,
close_valve(channel=0),Wed Jul  5 14:02:12 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 14:02:13 2023,
dispense(pressure=100),Wed Jul  5 14:02:22 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:02:22 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:02:24 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 14:02:47 2023,
close_valve(channel=0),Wed Jul  5 14:02:49 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 14:02:50 2023,
dispense(pressure=100),Wed Jul  5 14:02:59 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:02:59 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:03:01 2023,
dispense(pressure=100),Wed Jul  5 14:03:06 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:03:06 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:03:08 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 14:03:42 2023,
close_valve(channel=0),Wed Jul  5 14:03:43 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 14:03:44 2023,
dispense(pressure=100),Wed Jul  5 14:03:55 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:03:55 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:03:57 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 14:04:08 2023,
close_valve(channel=0),Wed Jul  5 14:04:10 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 14:04:11 2023,
dispense(pressure=100),Wed Jul  5 14:04:21 2023,
set_pressure(pressure=100; direction=1),Wed Jul  5 14:04:21 2023,
set_pressure(pressure=0; direction=1),Wed Jul  5 14:04:23 2023,
set_pressure(pressure=-100; direction=None),Wed Jul  5 14:07:57 2023,
close_valve(channel=0),Wed Jul  5 14:07:58 2023,
set_pressure(pressure=0; direction=2),Wed Jul  5 14:07:59 2023,
dispense(pressure=100),Wed Jul  5 14:08:09 2023,
