Seyonic Pipettor Initializing...,Thu Jul 27 13:57:13 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:32:20 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:32:23 2023,
dispense(pressure=100),Thu Jul 27 14:32:30 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:32:30 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:32:32 2023,
dispense(pressure=100),Thu Jul 27 14:32:39 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:32:39 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:32:42 2023,
dispense(pressure=100),Thu Jul 27 14:32:49 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:32:49 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:32:51 2023,
dispense(pressure=100),Thu Jul 27 14:32:58 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:32:58 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:33:01 2023,
dispense(pressure=100),Thu Jul 27 14:33:11 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:33:11 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:33:13 2023,
dispense(pressure=100),Thu Jul 27 14:33:18 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:33:19 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:33:20 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:33:29 2023,
close_valve(channel=0),Thu Jul 27 14:33:34 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:33:35 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:33:40 2023,
close_valve(channel=0),Thu Jul 27 14:33:41 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:33:42 2023,
dispense(pressure=100),Thu Jul 27 14:34:35 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:34:35 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:34:38 2023,
dispense(pressure=100),Thu Jul 27 14:34:45 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:34:45 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:34:47 2023,
dispense(pressure=100),Thu Jul 27 14:34:54 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:34:54 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:34:56 2023,
dispense(pressure=100),Thu Jul 27 14:35:03 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:35:03 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:35:06 2023,
dispense(pressure=100),Thu Jul 27 14:35:13 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:35:13 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:35:15 2023,
dispense(pressure=100),Thu Jul 27 14:35:26 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:35:26 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:35:28 2023,
dispense(pressure=100),Thu Jul 27 14:35:34 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:35:34 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:35:35 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:35:44 2023,
close_valve(channel=0),Thu Jul 27 14:35:49 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:35:50 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:35:55 2023,
close_valve(channel=0),Thu Jul 27 14:35:56 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:35:57 2023,
dispense(pressure=100),Thu Jul 27 14:36:50 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:36:50 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:36:52 2023,
dispense(pressure=100),Thu Jul 27 14:36:59 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:36:59 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:37:02 2023,
dispense(pressure=100),Thu Jul 27 14:37:09 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:37:09 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:37:11 2023,
dispense(pressure=100),Thu Jul 27 14:37:18 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:37:18 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:37:21 2023,
dispense(pressure=100),Thu Jul 27 14:37:28 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:37:28 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:37:30 2023,
dispense(pressure=100),Thu Jul 27 14:37:41 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:37:41 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:37:43 2023,
dispense(pressure=100),Thu Jul 27 14:37:48 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:37:48 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:37:50 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:37:59 2023,
close_valve(channel=0),Thu Jul 27 14:38:03 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:38:04 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:38:09 2023,
close_valve(channel=0),Thu Jul 27 14:38:11 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:38:12 2023,
dispense(pressure=100),Thu Jul 27 14:39:05 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:39:05 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:39:07 2023,
dispense(pressure=100),Thu Jul 27 14:39:14 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:39:14 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:39:16 2023,
dispense(pressure=100),Thu Jul 27 14:39:23 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:39:23 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:39:26 2023,
dispense(pressure=100),Thu Jul 27 14:39:33 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:39:33 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:39:35 2023,
dispense(pressure=100),Thu Jul 27 14:39:42 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:39:42 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:39:45 2023,
dispense(pressure=100),Thu Jul 27 14:39:56 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:39:56 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:39:58 2023,
dispense(pressure=100),Thu Jul 27 14:40:03 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:40:03 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:40:05 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:40:14 2023,
close_valve(channel=0),Thu Jul 27 14:40:18 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:40:19 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:40:24 2023,
close_valve(channel=0),Thu Jul 27 14:40:25 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:40:26 2023,
dispense(pressure=100),Thu Jul 27 14:41:19 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:41:19 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:41:21 2023,
dispense(pressure=100),Thu Jul 27 14:41:28 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:41:28 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:41:31 2023,
dispense(pressure=100),Thu Jul 27 14:41:38 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:41:38 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:41:40 2023,
dispense(pressure=100),Thu Jul 27 14:41:47 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:41:47 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:41:49 2023,
dispense(pressure=100),Thu Jul 27 14:41:57 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:41:57 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:41:59 2023,
dispense(pressure=100),Thu Jul 27 14:42:10 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:42:10 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:42:12 2023,
dispense(pressure=100),Thu Jul 27 14:42:17 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:42:17 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:42:19 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:42:21 2023,
close_valve(channel=0),Thu Jul 27 14:42:25 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:42:26 2023,
dispense(pressure=100),Thu Jul 27 14:42:33 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:42:33 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:42:37 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:42:40 2023,
close_valve(channel=0),Thu Jul 27 14:42:43 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:42:44 2023,
dispense(pressure=100),Thu Jul 27 14:42:46 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:42:46 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:42:58 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:43:00 2023,
close_valve(channel=0),Thu Jul 27 14:43:03 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:43:04 2023,
dispense(pressure=100),Thu Jul 27 14:43:06 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:43:06 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:43:10 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:43:13 2023,
close_valve(channel=0),Thu Jul 27 14:43:16 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:43:17 2023,
dispense(pressure=100),Thu Jul 27 14:43:19 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:43:19 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:43:24 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:43:27 2023,
close_valve(channel=0),Thu Jul 27 14:43:31 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:43:32 2023,
dispense(pressure=100),Thu Jul 27 14:43:40 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:43:40 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:43:44 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:46:08 2023,
close_valve(channel=0),Thu Jul 27 14:46:12 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:46:13 2023,
dispense(pressure=100),Thu Jul 27 14:46:22 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:46:22 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:46:27 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:46:59 2023,
close_valve(channel=0),Thu Jul 27 14:47:01 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:47:02 2023,
dispense(pressure=100),Thu Jul 27 14:47:11 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:47:11 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:47:13 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:47:25 2023,
close_valve(channel=0),Thu Jul 27 14:47:27 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:47:28 2023,
dispense(pressure=100),Thu Jul 27 14:47:29 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:47:29 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:47:32 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:47:34 2023,
close_valve(channel=0),Thu Jul 27 14:47:36 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:47:37 2023,
dispense(pressure=100),Thu Jul 27 14:47:38 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:47:38 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:47:41 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:47:43 2023,
close_valve(channel=0),Thu Jul 27 14:47:44 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:47:45 2023,
dispense(pressure=100),Thu Jul 27 14:47:46 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:47:47 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:47:49 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:48:12 2023,
close_valve(channel=0),Thu Jul 27 14:48:13 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:48:14 2023,
dispense(pressure=100),Thu Jul 27 14:48:15 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:48:15 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:48:17 2023,
dispense(pressure=100),Thu Jul 27 14:48:41 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:48:41 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:48:43 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:50:49 2023,
close_valve(channel=0),Thu Jul 27 14:50:51 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:50:52 2023,
dispense(pressure=100),Thu Jul 27 14:51:01 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:51:01 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:51:04 2023,
dispense(pressure=100),Thu Jul 27 14:51:11 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:51:11 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:51:13 2023,
dispense(pressure=100),Thu Jul 27 14:51:20 2023,
set_pressure(pressure=100; direction=1),Thu Jul 27 14:51:20 2023,
set_pressure(pressure=0; direction=1),Thu Jul 27 14:51:22 2023,
set_pressure(pressure=-100; direction=None),Thu Jul 27 14:51:32 2023,
close_valve(channel=0),Thu Jul 27 14:51:35 2023,
set_pressure(pressure=0; direction=2),Thu Jul 27 14:51:36 2023,
dispense(pressure=100),Thu Jul 27 14:51:45 2023,
