Seyonic Pipettor Initializing...,Thu Nov  9 10:24:40 2023,
dispense(pressure=100),Thu Nov  9 10:30:44 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:30:44 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:30:46 2023,
dispense(pressure=100),Thu Nov  9 10:30:53 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:30:53 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:30:56 2023,
dispense(pressure=100),Thu Nov  9 10:31:06 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:31:06 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:31:09 2023,
dispense(pressure=100),Thu Nov  9 10:31:14 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:31:14 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:31:16 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:31:24 2023,
close_valve(channel=0),Thu Nov  9 10:31:29 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:31:30 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:31:35 2023,
close_valve(channel=0),Thu Nov  9 10:31:36 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:31:37 2023,
dispense(pressure=100),Thu Nov  9 10:32:30 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:32:30 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:32:32 2023,
dispense(pressure=100),Thu Nov  9 10:32:39 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:32:39 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:32:42 2023,
dispense(pressure=100),Thu Nov  9 10:32:49 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:32:49 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:32:51 2023,
dispense(pressure=100),Thu Nov  9 10:32:58 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:32:58 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:33:00 2023,
dispense(pressure=100),Thu Nov  9 10:33:07 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:33:07 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:33:10 2023,
dispense(pressure=100),Thu Nov  9 10:33:21 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:33:21 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:33:23 2023,
dispense(pressure=100),Thu Nov  9 10:33:28 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:33:28 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:33:30 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:33:39 2023,
close_valve(channel=0),Thu Nov  9 10:33:43 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:33:44 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:33:49 2023,
close_valve(channel=0),Thu Nov  9 10:33:50 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:33:51 2023,
dispense(pressure=100),Thu Nov  9 10:34:44 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:34:44 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:34:47 2023,
dispense(pressure=100),Thu Nov  9 10:34:54 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:34:54 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:34:56 2023,
dispense(pressure=100),Thu Nov  9 10:35:03 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:35:03 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:35:06 2023,
dispense(pressure=100),Thu Nov  9 10:35:13 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:35:13 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:35:15 2023,
dispense(pressure=100),Thu Nov  9 10:35:22 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:35:22 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:35:25 2023,
dispense(pressure=100),Thu Nov  9 10:35:35 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:35:35 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:35:38 2023,
dispense(pressure=100),Thu Nov  9 10:35:43 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:35:43 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:35:45 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:35:53 2023,
close_valve(channel=0),Thu Nov  9 10:35:58 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:35:59 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:36:03 2023,
close_valve(channel=0),Thu Nov  9 10:36:04 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:36:06 2023,
dispense(pressure=100),Thu Nov  9 10:36:59 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:36:59 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:37:01 2023,
dispense(pressure=100),Thu Nov  9 10:37:08 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:37:08 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:37:10 2023,
dispense(pressure=100),Thu Nov  9 10:37:17 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:37:17 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:37:20 2023,
dispense(pressure=100),Thu Nov  9 10:37:27 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:37:27 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:37:29 2023,
dispense(pressure=100),Thu Nov  9 10:37:36 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:37:36 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:37:39 2023,
dispense(pressure=100),Thu Nov  9 10:37:49 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:37:49 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:37:52 2023,
dispense(pressure=100),Thu Nov  9 10:37:57 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:37:57 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:37:59 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:38:07 2023,
close_valve(channel=0),Thu Nov  9 10:38:12 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:38:13 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:38:17 2023,
close_valve(channel=0),Thu Nov  9 10:38:19 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:38:20 2023,
dispense(pressure=100),Thu Nov  9 10:39:13 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:39:13 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:39:15 2023,
dispense(pressure=100),Thu Nov  9 10:39:22 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:39:22 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:39:24 2023,
dispense(pressure=100),Thu Nov  9 10:39:31 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:39:31 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:39:34 2023,
dispense(pressure=100),Thu Nov  9 10:39:41 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:39:41 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:39:43 2023,
dispense(pressure=100),Thu Nov  9 10:39:50 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:39:50 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:39:53 2023,
dispense(pressure=100),Thu Nov  9 10:40:04 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:40:04 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:40:06 2023,
dispense(pressure=100),Thu Nov  9 10:40:11 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:40:11 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:40:13 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:40:22 2023,
close_valve(channel=0),Thu Nov  9 10:40:26 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:40:27 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:40:32 2023,
close_valve(channel=0),Thu Nov  9 10:40:33 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:40:34 2023,
dispense(pressure=100),Thu Nov  9 10:41:27 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:41:27 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:41:30 2023,
dispense(pressure=100),Thu Nov  9 10:41:37 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:41:37 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:41:39 2023,
dispense(pressure=100),Thu Nov  9 10:41:46 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:41:46 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:41:49 2023,
dispense(pressure=100),Thu Nov  9 10:41:56 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:41:56 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:41:58 2023,
dispense(pressure=100),Thu Nov  9 10:42:05 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:42:05 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:42:08 2023,
dispense(pressure=100),Thu Nov  9 10:42:18 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:42:18 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:42:20 2023,
dispense(pressure=100),Thu Nov  9 10:42:26 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:42:26 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:42:28 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:42:36 2023,
close_valve(channel=0),Thu Nov  9 10:42:40 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:42:42 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:42:46 2023,
close_valve(channel=0),Thu Nov  9 10:42:47 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:42:48 2023,
dispense(pressure=100),Thu Nov  9 10:43:41 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:43:41 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:43:43 2023,
dispense(pressure=100),Thu Nov  9 10:43:51 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:43:51 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:43:53 2023,
dispense(pressure=100),Thu Nov  9 10:44:00 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:44:00 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:44:02 2023,
dispense(pressure=100),Thu Nov  9 10:44:09 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:44:09 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:44:12 2023,
dispense(pressure=100),Thu Nov  9 10:44:19 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:44:19 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:44:21 2023,
dispense(pressure=100),Thu Nov  9 10:44:32 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:44:32 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:44:34 2023,
dispense(pressure=100),Thu Nov  9 10:44:39 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:44:39 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:44:42 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:44:44 2023,
close_valve(channel=0),Thu Nov  9 10:44:47 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:44:48 2023,
dispense(pressure=100),Thu Nov  9 10:44:56 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:44:56 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:45:00 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:45:03 2023,
close_valve(channel=0),Thu Nov  9 10:45:06 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:45:07 2023,
dispense(pressure=100),Thu Nov  9 10:45:09 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:45:09 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:45:13 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:45:15 2023,
close_valve(channel=0),Thu Nov  9 10:45:18 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:45:19 2023,
dispense(pressure=100),Thu Nov  9 10:45:21 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:45:21 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:45:25 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:45:28 2023,
close_valve(channel=0),Thu Nov  9 10:45:31 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:45:32 2023,
dispense(pressure=100),Thu Nov  9 10:45:34 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:45:34 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:45:37 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:45:41 2023,
close_valve(channel=0),Thu Nov  9 10:45:44 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:45:45 2023,
dispense(pressure=100),Thu Nov  9 10:45:53 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:45:53 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:45:57 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:48:22 2023,
close_valve(channel=0),Thu Nov  9 10:48:25 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:48:27 2023,
dispense(pressure=100),Thu Nov  9 10:48:35 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:48:35 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:48:40 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:49:14 2023,
close_valve(channel=0),Thu Nov  9 10:49:16 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:49:17 2023,
dispense(pressure=100),Thu Nov  9 10:49:26 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:49:26 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:49:29 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:49:41 2023,
close_valve(channel=0),Thu Nov  9 10:49:43 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:49:44 2023,
dispense(pressure=100),Thu Nov  9 10:49:45 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:49:45 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:49:47 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:49:49 2023,
close_valve(channel=0),Thu Nov  9 10:49:51 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:49:52 2023,
dispense(pressure=100),Thu Nov  9 10:49:53 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:49:53 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:49:56 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:49:58 2023,
close_valve(channel=0),Thu Nov  9 10:50:00 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:50:01 2023,
dispense(pressure=100),Thu Nov  9 10:50:02 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:50:02 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:50:04 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:50:27 2023,
close_valve(channel=0),Thu Nov  9 10:50:28 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:50:29 2023,
dispense(pressure=100),Thu Nov  9 10:50:30 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:50:30 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:50:33 2023,
dispense(pressure=100),Thu Nov  9 10:50:56 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:50:56 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:50:58 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:53:04 2023,
close_valve(channel=0),Thu Nov  9 10:53:06 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:53:07 2023,
dispense(pressure=100),Thu Nov  9 10:53:16 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:53:16 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:53:19 2023,
dispense(pressure=100),Thu Nov  9 10:53:26 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:53:26 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:53:28 2023,
dispense(pressure=100),Thu Nov  9 10:53:35 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:53:35 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:53:37 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:53:47 2023,
close_valve(channel=0),Thu Nov  9 10:53:50 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:53:51 2023,
dispense(pressure=100),Thu Nov  9 10:54:00 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:54:00 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:54:04 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:54:06 2023,
close_valve(channel=0),Thu Nov  9 10:54:08 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:54:09 2023,
dispense(pressure=100),Thu Nov  9 10:54:10 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:54:10 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:54:14 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:54:26 2023,
close_valve(channel=0),Thu Nov  9 10:54:29 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:54:30 2023,
dispense(pressure=100),Thu Nov  9 10:54:39 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:54:39 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:54:43 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:55:15 2023,
close_valve(channel=0),Thu Nov  9 10:55:18 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:55:19 2023,
dispense(pressure=100),Thu Nov  9 10:55:28 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:55:28 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:55:32 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:55:44 2023,
close_valve(channel=0),Thu Nov  9 10:55:46 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:55:47 2023,
dispense(pressure=100),Thu Nov  9 10:55:48 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:55:48 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:55:52 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:56:04 2023,
close_valve(channel=0),Thu Nov  9 10:56:07 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:56:08 2023,
dispense(pressure=100),Thu Nov  9 10:56:17 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:56:17 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:56:21 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:56:55 2023,
close_valve(channel=0),Thu Nov  9 10:56:56 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:56:57 2023,
dispense(pressure=100),Thu Nov  9 10:57:08 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:57:08 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:57:10 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 10:57:22 2023,
close_valve(channel=0),Thu Nov  9 10:57:23 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 10:57:24 2023,
dispense(pressure=100),Thu Nov  9 10:57:35 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 10:57:35 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 10:57:36 2023,
