Seyonic Pipettor Initializing...,Thu Sep 28 11:33:44 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:42:30 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:42:32 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:42:41 2023,
close_valve(channel=0),Thu Sep 28 11:42:45 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:42:46 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:42:51 2023,
close_valve(channel=0),Thu Sep 28 11:42:52 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:42:53 2023,
dispense(pressure=100),Thu Sep 28 11:43:46 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:43:46 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:43:48 2023,
dispense(pressure=100),Thu Sep 28 11:43:56 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:43:56 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:43:58 2023,
dispense(pressure=100),Thu Sep 28 11:44:05 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:44:05 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:44:07 2023,
dispense(pressure=100),Thu Sep 28 11:44:14 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:44:14 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:44:17 2023,
dispense(pressure=100),Thu Sep 28 11:44:24 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:44:24 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:44:26 2023,
dispense(pressure=100),Thu Sep 28 11:44:37 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:44:37 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:44:39 2023,
dispense(pressure=100),Thu Sep 28 11:44:44 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:44:44 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:44:46 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:44:55 2023,
close_valve(channel=0),Thu Sep 28 11:44:59 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:45:00 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:45:05 2023,
close_valve(channel=0),Thu Sep 28 11:45:06 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:45:07 2023,
dispense(pressure=100),Thu Sep 28 11:46:01 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:46:01 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:46:03 2023,
dispense(pressure=100),Thu Sep 28 11:46:10 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:46:10 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:46:12 2023,
dispense(pressure=100),Thu Sep 28 11:46:19 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:46:19 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:46:22 2023,
dispense(pressure=100),Thu Sep 28 11:46:29 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:46:29 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:46:31 2023,
dispense(pressure=100),Thu Sep 28 11:46:38 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:46:38 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:46:41 2023,
dispense(pressure=100),Thu Sep 28 11:46:52 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:46:52 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:46:54 2023,
dispense(pressure=100),Thu Sep 28 11:46:59 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:46:59 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:47:01 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:47:10 2023,
close_valve(channel=0),Thu Sep 28 11:47:14 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:47:15 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:47:20 2023,
close_valve(channel=0),Thu Sep 28 11:47:21 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:47:22 2023,
dispense(pressure=100),Thu Sep 28 11:48:15 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:48:15 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:48:17 2023,
dispense(pressure=100),Thu Sep 28 11:48:24 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:48:24 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:48:27 2023,
dispense(pressure=100),Thu Sep 28 11:48:34 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:48:34 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:48:36 2023,
dispense(pressure=100),Thu Sep 28 11:48:43 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:48:43 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:48:46 2023,
dispense(pressure=100),Thu Sep 28 11:48:53 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:48:53 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:48:55 2023,
dispense(pressure=100),Thu Sep 28 11:49:06 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:49:06 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:49:08 2023,
dispense(pressure=100),Thu Sep 28 11:49:13 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:49:13 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:49:16 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:49:24 2023,
close_valve(channel=0),Thu Sep 28 11:49:28 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:49:29 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:49:34 2023,
close_valve(channel=0),Thu Sep 28 11:49:36 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:49:37 2023,
dispense(pressure=100),Thu Sep 28 11:50:30 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:50:30 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:50:32 2023,
dispense(pressure=100),Thu Sep 28 11:50:39 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:50:39 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:50:41 2023,
dispense(pressure=100),Thu Sep 28 11:50:49 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:50:49 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:50:51 2023,
dispense(pressure=100),Thu Sep 28 11:50:58 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:50:58 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:51:00 2023,
dispense(pressure=100),Thu Sep 28 11:51:07 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:51:07 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:51:10 2023,
dispense(pressure=100),Thu Sep 28 11:51:20 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:51:21 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:51:23 2023,
dispense(pressure=100),Thu Sep 28 11:51:28 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:51:28 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:51:30 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:51:32 2023,
close_valve(channel=0),Thu Sep 28 11:51:35 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:51:36 2023,
dispense(pressure=100),Thu Sep 28 11:51:44 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:51:44 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:51:48 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:51:51 2023,
close_valve(channel=0),Thu Sep 28 11:51:54 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:51:55 2023,
dispense(pressure=100),Thu Sep 28 11:51:57 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:51:57 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:52:01 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:52:03 2023,
close_valve(channel=0),Thu Sep 28 11:52:06 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:52:07 2023,
dispense(pressure=100),Thu Sep 28 11:52:09 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:52:09 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:52:13 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:52:16 2023,
close_valve(channel=0),Thu Sep 28 11:52:19 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:52:20 2023,
dispense(pressure=100),Thu Sep 28 11:52:22 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:52:22 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:52:26 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:52:29 2023,
close_valve(channel=0),Thu Sep 28 11:52:32 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:52:33 2023,
dispense(pressure=100),Thu Sep 28 11:52:41 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:52:41 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:52:45 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:55:09 2023,
close_valve(channel=0),Thu Sep 28 11:55:13 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:55:14 2023,
dispense(pressure=100),Thu Sep 28 11:55:23 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:55:23 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:55:28 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:56:01 2023,
close_valve(channel=0),Thu Sep 28 11:56:03 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:56:04 2023,
dispense(pressure=100),Thu Sep 28 11:56:13 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:56:13 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:56:16 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:56:28 2023,
close_valve(channel=0),Thu Sep 28 11:56:29 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:56:30 2023,
dispense(pressure=100),Thu Sep 28 11:56:31 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:56:32 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:56:34 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:56:36 2023,
close_valve(channel=0),Thu Sep 28 11:56:38 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:56:39 2023,
dispense(pressure=100),Thu Sep 28 11:56:40 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:56:40 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:56:43 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:56:45 2023,
close_valve(channel=0),Thu Sep 28 11:56:46 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:56:47 2023,
dispense(pressure=100),Thu Sep 28 11:56:48 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:56:48 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:56:51 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:57:14 2023,
close_valve(channel=0),Thu Sep 28 11:57:15 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:57:16 2023,
dispense(pressure=100),Thu Sep 28 11:57:17 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:57:17 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:57:19 2023,
dispense(pressure=100),Thu Sep 28 11:57:42 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:57:42 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:57:45 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:59:51 2023,
close_valve(channel=0),Thu Sep 28 11:59:53 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:59:54 2023,
dispense(pressure=100),Thu Sep 28 12:00:03 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:00:03 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:00:06 2023,
dispense(pressure=100),Thu Sep 28 12:00:13 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:00:13 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:00:15 2023,
dispense(pressure=100),Thu Sep 28 12:00:22 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:00:22 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:00:24 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:00:34 2023,
close_valve(channel=0),Thu Sep 28 12:00:37 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:00:38 2023,
dispense(pressure=100),Thu Sep 28 12:00:47 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:00:47 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:00:50 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:00:52 2023,
close_valve(channel=0),Thu Sep 28 12:00:55 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:00:56 2023,
dispense(pressure=100),Thu Sep 28 12:00:57 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:00:57 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:01:00 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:01:12 2023,
close_valve(channel=0),Thu Sep 28 12:01:16 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:01:17 2023,
dispense(pressure=100),Thu Sep 28 12:01:26 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:01:26 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:01:30 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:02:02 2023,
close_valve(channel=0),Thu Sep 28 12:02:04 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:02:05 2023,
dispense(pressure=100),Thu Sep 28 12:02:14 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:02:14 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:02:18 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:02:30 2023,
close_valve(channel=0),Thu Sep 28 12:02:33 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:02:34 2023,
dispense(pressure=100),Thu Sep 28 12:02:35 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:02:35 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:02:38 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:02:50 2023,
close_valve(channel=0),Thu Sep 28 12:02:53 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:02:54 2023,
dispense(pressure=100),Thu Sep 28 12:03:04 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:03:04 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:03:07 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:03:41 2023,
close_valve(channel=0),Thu Sep 28 12:03:43 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:03:44 2023,
dispense(pressure=100),Thu Sep 28 12:03:54 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:03:54 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:03:56 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:04:08 2023,
close_valve(channel=0),Thu Sep 28 12:04:09 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:04:10 2023,
dispense(pressure=100),Thu Sep 28 12:04:21 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:04:21 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:04:22 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:10:06 2023,
close_valve(channel=0),Thu Sep 28 12:10:08 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:10:09 2023,
dispense(pressure=100),Thu Sep 28 12:10:19 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:10:19 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:10:21 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:10:23 2023,
close_valve(channel=0),Thu Sep 28 12:10:24 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:10:25 2023,
dispense(pressure=100),Thu Sep 28 12:10:27 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:10:27 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:10:29 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:10:31 2023,
close_valve(channel=0),Thu Sep 28 12:10:32 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:10:33 2023,
dispense(pressure=100),Thu Sep 28 12:10:34 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:10:34 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:10:36 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:10:38 2023,
close_valve(channel=0),Thu Sep 28 12:10:39 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:10:40 2023,
dispense(pressure=100),Thu Sep 28 12:10:41 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:10:41 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:10:44 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:10:46 2023,
close_valve(channel=0),Thu Sep 28 12:10:47 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:10:48 2023,
dispense(pressure=100),Thu Sep 28 12:10:49 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:10:49 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:10:51 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:10:53 2023,
close_valve(channel=0),Thu Sep 28 12:10:54 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:10:55 2023,
dispense(pressure=100),Thu Sep 28 12:10:56 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:10:56 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:10:58 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:11:31 2023,
close_valve(channel=0),Thu Sep 28 12:11:32 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:11:33 2023,
dispense(pressure=100),Thu Sep 28 12:11:34 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:11:34 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:11:36 2023,
dispense(pressure=100),Thu Sep 28 12:11:43 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:11:43 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:11:44 2023,
