Seyonic Pipettor Initializing...,Tue Aug  1 11:18:46 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 11:22:26 2023,
close_valve(channel=0),Tue Aug  1 11:22:31 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 11:22:32 2023,
dispense(pressure=100),Tue Aug  1 11:22:40 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:22:40 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:22:45 2023,
dispense(pressure=100),Tue Aug  1 11:22:49 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:22:49 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:22:51 2023,
dispense(pressure=100),Tue Aug  1 11:22:55 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 11:22:55 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 11:22:58 2023,
