Seyonic Pipettor Initializing...,Thu Nov  9 11:17:21 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:18:20 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:18:22 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:18:58 2023,
close_valve(channel=0),Thu Nov  9 11:18:59 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:19:00 2023,
dispense(pressure=100),Thu Nov  9 11:19:10 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:19:10 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:19:12 2023,
dispense(pressure=100),Thu Nov  9 11:19:16 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:19:16 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:19:18 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:19:54 2023,
close_valve(channel=0),Thu Nov  9 11:19:55 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:19:56 2023,
dispense(pressure=100),Thu Nov  9 11:20:06 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:20:06 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:20:08 2023,
dispense(pressure=100),Thu Nov  9 11:20:12 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:20:12 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:20:14 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:20:51 2023,
close_valve(channel=0),Thu Nov  9 11:20:52 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:20:53 2023,
dispense(pressure=100),Thu Nov  9 11:21:03 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:21:03 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:21:06 2023,
dispense(pressure=100),Thu Nov  9 11:21:10 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:21:10 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:21:12 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:21:15 2023,
close_valve(channel=0),Thu Nov  9 11:21:16 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:21:17 2023,
dispense(pressure=100),Thu Nov  9 11:21:19 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:21:19 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:21:22 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:21:25 2023,
close_valve(channel=0),Thu Nov  9 11:21:27 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:21:28 2023,
dispense(pressure=100),Thu Nov  9 11:21:30 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:21:30 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:21:32 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:21:35 2023,
close_valve(channel=0),Thu Nov  9 11:21:37 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:21:38 2023,
dispense(pressure=100),Thu Nov  9 11:21:40 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:21:40 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:21:43 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:21:46 2023,
close_valve(channel=0),Thu Nov  9 11:21:47 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:21:49 2023,
dispense(pressure=100),Thu Nov  9 11:21:51 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:21:51 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:21:53 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:21:56 2023,
close_valve(channel=0),Thu Nov  9 11:21:58 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:21:59 2023,
dispense(pressure=100),Thu Nov  9 11:22:01 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:22:01 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:22:04 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:22:07 2023,
close_valve(channel=0),Thu Nov  9 11:22:08 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:22:09 2023,
dispense(pressure=100),Thu Nov  9 11:22:11 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:22:11 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:22:14 2023,
dispense(pressure=100),Thu Nov  9 11:22:20 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:22:20 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:22:22 2023,
dispense(pressure=100),Thu Nov  9 11:22:26 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:22:26 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:22:28 2023,
dispense(pressure=100),Thu Nov  9 11:22:32 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:22:32 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:22:34 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:23:11 2023,
close_valve(channel=0),Thu Nov  9 11:23:13 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:23:14 2023,
dispense(pressure=100),Thu Nov  9 11:23:16 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:23:16 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:23:18 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:23:21 2023,
close_valve(channel=0),Thu Nov  9 11:23:23 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:23:24 2023,
dispense(pressure=100),Thu Nov  9 11:23:26 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:23:26 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:23:28 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:23:31 2023,
close_valve(channel=0),Thu Nov  9 11:23:32 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:23:34 2023,
dispense(pressure=100),Thu Nov  9 11:23:36 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:23:36 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:23:38 2023,
dispense(pressure=100),Thu Nov  9 11:23:43 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:23:43 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:23:45 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:26:20 2023,
close_valve(channel=0),Thu Nov  9 11:26:21 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:26:23 2023,
dispense(pressure=100),Thu Nov  9 11:26:32 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:26:32 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:26:34 2023,
dispense(pressure=100),Thu Nov  9 11:26:39 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:26:39 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:26:41 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:26:53 2023,
close_valve(channel=0),Thu Nov  9 11:26:54 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:26:55 2023,
dispense(pressure=100),Thu Nov  9 11:27:08 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:27:08 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:27:10 2023,
dispense(pressure=100),Thu Nov  9 11:27:14 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:27:14 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:27:16 2023,
dispense(pressure=100),Thu Nov  9 11:27:20 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:27:20 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:27:22 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:27:25 2023,
close_valve(channel=0),Thu Nov  9 11:27:27 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:27:28 2023,
dispense(pressure=200),Thu Nov  9 11:27:34 2023,
set_pressure(pressure=200; direction=1),Thu Nov  9 11:27:34 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:27:36 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:27:43 2023,
close_valve(channel=0),Thu Nov  9 11:27:45 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:27:46 2023,
dispense(pressure=200),Thu Nov  9 11:27:52 2023,
set_pressure(pressure=200; direction=1),Thu Nov  9 11:27:52 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:27:54 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:28:01 2023,
close_valve(channel=0),Thu Nov  9 11:28:03 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:28:04 2023,
dispense(pressure=200),Thu Nov  9 11:28:10 2023,
set_pressure(pressure=200; direction=1),Thu Nov  9 11:28:10 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:28:12 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:28:19 2023,
close_valve(channel=0),Thu Nov  9 11:28:21 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:28:22 2023,
dispense(pressure=200),Thu Nov  9 11:28:28 2023,
set_pressure(pressure=200; direction=1),Thu Nov  9 11:28:28 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:28:30 2023,
dispense(pressure=100),Thu Nov  9 11:28:40 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:28:40 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:28:42 2023,
dispense(pressure=100),Thu Nov  9 11:28:47 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:28:47 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:28:49 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:35:16 2023,
close_valve(channel=0),Thu Nov  9 11:35:18 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:35:19 2023,
dispense(pressure=100),Thu Nov  9 11:35:30 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:35:30 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:35:32 2023,
dispense(pressure=100),Thu Nov  9 11:35:36 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:35:36 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:35:38 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:35:50 2023,
close_valve(channel=0),Thu Nov  9 11:35:52 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:35:53 2023,
dispense(pressure=100),Thu Nov  9 11:36:03 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:36:03 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:36:06 2023,
dispense(pressure=100),Thu Nov  9 11:36:10 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:36:10 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:36:12 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:36:45 2023,
close_valve(channel=0),Thu Nov  9 11:36:47 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:36:48 2023,
dispense(pressure=100),Thu Nov  9 11:36:57 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:36:57 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:37:09 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:37:31 2023,
close_valve(channel=1),Thu Nov  9 11:37:32 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:37:33 2023,
close_valve(channel=0),Thu Nov  9 11:37:33 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:37:34 2023,
dispense(pressure=100),Thu Nov  9 11:37:43 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:37:43 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:37:46 2023,
dispense(pressure=100),Thu Nov  9 11:37:50 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:37:50 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:37:52 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:38:01 2023,
close_valve(channel=0),Thu Nov  9 11:38:03 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:38:04 2023,
dispense(pressure=100),Thu Nov  9 11:38:13 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:38:13 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:38:25 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:38:47 2023,
close_valve(channel=1),Thu Nov  9 11:38:48 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:38:49 2023,
close_valve(channel=0),Thu Nov  9 11:38:49 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:38:50 2023,
dispense(pressure=100),Thu Nov  9 11:38:59 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:38:59 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:39:02 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:39:36 2023,
close_valve(channel=0),Thu Nov  9 11:39:37 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:39:38 2023,
dispense(pressure=100),Thu Nov  9 11:39:49 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:39:49 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:39:51 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:40:03 2023,
close_valve(channel=0),Thu Nov  9 11:40:04 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:40:05 2023,
dispense(pressure=100),Thu Nov  9 11:40:16 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:40:16 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:40:18 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:43:52 2023,
close_valve(channel=0),Thu Nov  9 11:43:53 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:43:54 2023,
dispense(pressure=100),Thu Nov  9 11:44:04 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:44:04 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:44:06 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:44:09 2023,
close_valve(channel=0),Thu Nov  9 11:44:10 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:44:11 2023,
dispense(pressure=100),Thu Nov  9 11:44:12 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:44:12 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:44:14 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:44:16 2023,
close_valve(channel=0),Thu Nov  9 11:44:17 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:44:18 2023,
dispense(pressure=100),Thu Nov  9 11:44:19 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:44:19 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:44:21 2023,
set_pressure(pressure=-100; direction=None),Thu Nov  9 11:44:23 2023,
close_valve(channel=0),Thu Nov  9 11:44:24 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:44:26 2023,
dispense(pressure=100),Thu Nov  9 11:44:27 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:44:27 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:44:28 2023,
set_pressure(pressure=-8; direction=None),Thu Nov  9 11:44:31 2023,
close_valve(channel=0),Thu Nov  9 11:44:32 2023,
set_pressure(pressure=0; direction=2),Thu Nov  9 11:44:33 2023,
dispense(pressure=20),Thu Nov  9 11:44:35 2023,
set_pressure(pressure=20; direction=1),Thu Nov  9 11:44:35 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:44:37 2023,
dispense(pressure=20),Thu Nov  9 11:44:42 2023,
set_pressure(pressure=20; direction=1),Thu Nov  9 11:44:42 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:44:44 2023,
dispense(pressure=100),Thu Nov  9 11:45:49 2023,
set_pressure(pressure=100; direction=1),Thu Nov  9 11:45:49 2023,
set_pressure(pressure=0; direction=1),Thu Nov  9 11:45:51 2023,
