Seyonic Pipettor Initializing...,Fri Aug 25 15:13:17 2023,
dispense(pressure=100),Fri Aug 25 15:19:35 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:19:35 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:19:37 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:22:10 2023,
close_valve(channel=0),Fri Aug 25 15:22:12 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:22:13 2023,
dispense(pressure=100),Fri Aug 25 15:22:22 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:22:22 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:22:25 2023,
dispense(pressure=100),Fri Aug 25 15:22:30 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:22:30 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:22:32 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:22:43 2023,
close_valve(channel=0),Fri Aug 25 15:22:45 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:22:46 2023,
dispense(pressure=100),Fri Aug 25 15:22:58 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:22:58 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:23:00 2023,
dispense(pressure=100),Fri Aug 25 15:23:04 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:23:04 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:23:06 2023,
dispense(pressure=100),Fri Aug 25 15:23:11 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:23:11 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:23:13 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:23:16 2023,
close_valve(channel=0),Fri Aug 25 15:23:17 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:23:18 2023,
dispense(pressure=200),Fri Aug 25 15:23:24 2023,
set_pressure(pressure=200; direction=1),Fri Aug 25 15:23:24 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:23:27 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:23:34 2023,
close_valve(channel=0),Fri Aug 25 15:23:35 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:23:36 2023,
dispense(pressure=200),Fri Aug 25 15:23:42 2023,
set_pressure(pressure=200; direction=1),Fri Aug 25 15:23:42 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:23:45 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:23:52 2023,
close_valve(channel=0),Fri Aug 25 15:23:53 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:23:54 2023,
dispense(pressure=200),Fri Aug 25 15:24:00 2023,
set_pressure(pressure=200; direction=1),Fri Aug 25 15:24:00 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:24:03 2023,
set_pressure(pressure=-100; direction=None),Fri Aug 25 15:24:10 2023,
close_valve(channel=0),Fri Aug 25 15:24:11 2023,
set_pressure(pressure=0; direction=2),Fri Aug 25 15:24:12 2023,
dispense(pressure=200),Fri Aug 25 15:24:18 2023,
set_pressure(pressure=200; direction=1),Fri Aug 25 15:24:18 2023,
set_pressure(pressure=0; direction=1),Fri Aug 25 15:24:20 2023,
dispense(pressure=100),Fri Aug 25 15:24:31 2023,
set_pressure(pressure=100; direction=1),Fri Aug 25 15:24:31 2023,
