Seyonic Pipettor Initializing...,Tue Jul 18 10:36:01 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 11:01:39 2023,
dispense(pressure=20),Tue Jul 18 11:01:47 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 11:01:47 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:01:53 2023,
dispense(pressure=20),Tue Jul 18 11:01:55 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 11:01:55 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:02:01 2023,
dispense(pressure=20),Tue Jul 18 11:02:03 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 11:02:03 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:02:10 2023,
dispense(pressure=20),Tue Jul 18 11:02:12 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 11:02:12 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:02:19 2023,
dispense(pressure=20),Tue Jul 18 11:02:21 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 11:02:21 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 11:02:27 2023,
