Seyonic Pipettor Initializing...,Thu Sep 28 10:54:28 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 10:56:09 2023,
close_valve(channel=0),Thu Sep 28 10:56:13 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 10:56:14 2023,
dispense(pressure=100),Thu Sep 28 10:56:21 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:56:21 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:56:26 2023,
dispense(pressure=100),Thu Sep 28 10:56:30 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:56:30 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:56:33 2023,
dispense(pressure=100),Thu Sep 28 10:56:37 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:56:37 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:56:39 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 10:56:47 2023,
close_valve(channel=0),Thu Sep 28 10:56:51 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 10:56:52 2023,
dispense(pressure=100),Thu Sep 28 10:56:54 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:56:54 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:56:58 2023,
dispense(pressure=100),Thu Sep 28 10:57:02 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:57:02 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:57:04 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 10:57:07 2023,
close_valve(channel=0),Thu Sep 28 10:57:11 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 10:57:12 2023,
dispense(pressure=100),Thu Sep 28 10:57:20 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:57:20 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:57:25 2023,
dispense(pressure=100),Thu Sep 28 10:57:29 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:57:29 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:57:31 2023,
dispense(pressure=100),Thu Sep 28 10:57:35 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:57:35 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:57:38 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 10:57:46 2023,
close_valve(channel=0),Thu Sep 28 10:57:50 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 10:57:51 2023,
dispense(pressure=100),Thu Sep 28 10:57:53 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:57:53 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:57:57 2023,
dispense(pressure=100),Thu Sep 28 10:58:01 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:58:01 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:58:03 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 10:58:06 2023,
close_valve(channel=0),Thu Sep 28 10:58:10 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 10:58:11 2023,
dispense(pressure=100),Thu Sep 28 10:58:19 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:58:19 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:58:24 2023,
dispense(pressure=100),Thu Sep 28 10:58:28 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:58:28 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:58:30 2023,
dispense(pressure=100),Thu Sep 28 10:58:34 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 10:58:34 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 10:58:37 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:19:09 2023,
close_valve(channel=0),Thu Sep 28 11:19:13 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:19:14 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 11:19:19 2023,
close_valve(channel=0),Thu Sep 28 11:19:20 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 11:19:21 2023,
dispense(pressure=100),Thu Sep 28 11:20:15 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:20:15 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:20:17 2023,
dispense(pressure=100),Thu Sep 28 11:20:24 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:20:24 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:20:26 2023,
dispense(pressure=100),Thu Sep 28 11:20:33 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:20:33 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:20:36 2023,
dispense(pressure=100),Thu Sep 28 11:20:43 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:20:43 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:20:45 2023,
dispense(pressure=100),Thu Sep 28 11:20:52 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:20:52 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:20:55 2023,
dispense(pressure=100),Thu Sep 28 11:21:05 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:21:05 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:21:07 2023,
dispense(pressure=100),Thu Sep 28 11:21:13 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 11:21:13 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 11:21:15 2023,
