Seyonic Pipettor Initializing...,Tue Aug  8 10:02:16 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:04:03 2023,
dispense(pressure=100),Tue Aug  8 10:04:11 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:04:11 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:04:16 2023,
dispense(pressure=100),Tue Aug  8 10:04:20 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:04:20 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:04:22 2023,
dispense(pressure=100),Tue Aug  8 10:04:26 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:04:26 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:04:29 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:04:37 2023,
close_valve(channel=0),Tue Aug  8 10:04:41 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:04:42 2023,
dispense(pressure=100),Tue Aug  8 10:04:44 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:04:44 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:04:48 2023,
dispense(pressure=100),Tue Aug  8 10:04:52 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:04:52 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:04:54 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:04:57 2023,
close_valve(channel=0),Tue Aug  8 10:05:02 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:05:03 2023,
dispense(pressure=100),Tue Aug  8 10:05:11 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:05:11 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:05:15 2023,
dispense(pressure=100),Tue Aug  8 10:05:20 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:05:20 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:05:22 2023,
dispense(pressure=100),Tue Aug  8 10:05:26 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:05:26 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:05:28 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:05:37 2023,
close_valve(channel=0),Tue Aug  8 10:05:41 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:05:42 2023,
dispense(pressure=100),Tue Aug  8 10:05:44 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:05:44 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:05:48 2023,
dispense(pressure=100),Tue Aug  8 10:05:52 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:05:52 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:05:54 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  8 10:05:57 2023,
close_valve(channel=0),Tue Aug  8 10:06:02 2023,
set_pressure(pressure=0; direction=2),Tue Aug  8 10:06:03 2023,
dispense(pressure=100),Tue Aug  8 10:06:10 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:06:11 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:06:15 2023,
dispense(pressure=100),Tue Aug  8 10:06:19 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:06:19 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:06:22 2023,
dispense(pressure=100),Tue Aug  8 10:06:26 2023,
set_pressure(pressure=100; direction=1),Tue Aug  8 10:06:26 2023,
set_pressure(pressure=0; direction=1),Tue Aug  8 10:06:28 2023,
