Seyonic Pipettor Initializing...,Thu Aug 24 11:08:18 2023,
dispense(pressure=100),Thu Aug 24 11:18:07 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:18:07 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:18:09 2023,
dispense(pressure=100),Thu Aug 24 11:18:13 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:18:13 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:18:15 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:18:18 2023,
close_valve(channel=0),Thu Aug 24 11:18:20 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:18:21 2023,
dispense(pressure=200),Thu Aug 24 11:18:27 2023,
set_pressure(pressure=200; direction=1),Thu Aug 24 11:18:27 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:18:29 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:18:36 2023,
close_valve(channel=0),Thu Aug 24 11:18:38 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:18:39 2023,
dispense(pressure=200),Thu Aug 24 11:18:45 2023,
set_pressure(pressure=200; direction=1),Thu Aug 24 11:18:45 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:18:47 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:18:54 2023,
close_valve(channel=0),Thu Aug 24 11:18:56 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:18:57 2023,
dispense(pressure=200),Thu Aug 24 11:19:03 2023,
set_pressure(pressure=200; direction=1),Thu Aug 24 11:19:03 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:19:05 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:19:12 2023,
close_valve(channel=0),Thu Aug 24 11:19:14 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:19:15 2023,
dispense(pressure=200),Thu Aug 24 11:19:21 2023,
set_pressure(pressure=200; direction=1),Thu Aug 24 11:19:21 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:19:23 2023,
dispense(pressure=100),Thu Aug 24 11:19:33 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:19:33 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:19:36 2023,
dispense(pressure=100),Thu Aug 24 11:19:40 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:19:40 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:19:42 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:26:09 2023,
close_valve(channel=0),Thu Aug 24 11:26:10 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:26:11 2023,
dispense(pressure=100),Thu Aug 24 11:26:22 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:26:22 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:26:25 2023,
dispense(pressure=100),Thu Aug 24 11:26:29 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:26:29 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:26:31 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:26:42 2023,
close_valve(channel=0),Thu Aug 24 11:26:44 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:26:45 2023,
dispense(pressure=100),Thu Aug 24 11:26:55 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:26:55 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:26:58 2023,
dispense(pressure=100),Thu Aug 24 11:27:02 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:27:02 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:27:04 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:27:36 2023,
close_valve(channel=0),Thu Aug 24 11:27:37 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:27:38 2023,
dispense(pressure=100),Thu Aug 24 11:27:47 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:27:47 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:27:49 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:28:11 2023,
close_valve(channel=0),Thu Aug 24 11:28:13 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:28:14 2023,
dispense(pressure=100),Thu Aug 24 11:28:23 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:28:23 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:28:26 2023,
dispense(pressure=100),Thu Aug 24 11:28:30 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:28:30 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:28:32 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:28:41 2023,
close_valve(channel=0),Thu Aug 24 11:28:43 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:28:44 2023,
dispense(pressure=100),Thu Aug 24 11:28:53 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:28:53 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:28:55 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:29:18 2023,
close_valve(channel=0),Thu Aug 24 11:29:19 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:29:21 2023,
dispense(pressure=100),Thu Aug 24 11:29:30 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:29:30 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:29:32 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:30:05 2023,
close_valve(channel=0),Thu Aug 24 11:30:07 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:30:08 2023,
dispense(pressure=100),Thu Aug 24 11:30:18 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:30:18 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:30:20 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:30:32 2023,
close_valve(channel=0),Thu Aug 24 11:30:33 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:30:34 2023,
dispense(pressure=100),Thu Aug 24 11:30:44 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:30:44 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:30:46 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:34:20 2023,
close_valve(channel=0),Thu Aug 24 11:34:21 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:34:22 2023,
dispense(pressure=100),Thu Aug 24 11:34:32 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:34:32 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:34:34 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:34:36 2023,
close_valve(channel=0),Thu Aug 24 11:34:38 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:34:39 2023,
dispense(pressure=100),Thu Aug 24 11:34:40 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:34:40 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:34:42 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:34:44 2023,
close_valve(channel=0),Thu Aug 24 11:34:45 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:34:46 2023,
dispense(pressure=100),Thu Aug 24 11:34:47 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:34:47 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:34:49 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:34:51 2023,
close_valve(channel=0),Thu Aug 24 11:34:52 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:34:53 2023,
dispense(pressure=100),Thu Aug 24 11:34:54 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:34:54 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:34:56 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 11:34:58 2023,
close_valve(channel=0),Thu Aug 24 11:35:00 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 11:35:01 2023,
dispense(pressure=100),Thu Aug 24 11:35:03 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:35:03 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:35:05 2023,
dispense(pressure=100),Thu Aug 24 11:35:10 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:35:10 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:35:12 2023,
dispense(pressure=100),Thu Aug 24 11:36:17 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 11:36:17 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 11:36:19 2023,
